Province,Focus Zone,Area agricultural land(ha),Change related to CP,,,
,,CP,RS,GS,GS,RS
Drenthe,Nature zones,"12,539","12,239","4,288",-2%,-65%
,Transition zones,"18,754","18,376","9,613",-2%,-48%
,Fen-meadow zones,-,-,-,,
,Buffer zones in stream valleys,"1,106","1,081","1,081",-2%,0%
,Remaining,"113,982","111,584","111,584",-2%,0%
,Total,"146,381","143,280","126,566",-2%,-12%
Flevoland,Nature zones,"1,919","1,871","1,056",-3%,-44%
,Transition zones,49,47,19,-4%,-60%
,Fen-meadow zones,-,-,-,,
,Buffer zones in stream valleys,-,-,-,,
,Remaining,"82,947","81,232","81,232",-2%,0%
,Total,"84,915","83,150","82,307",-2%,-1%
Friesland,Nature zones,"13,383","12,882","7,200",-4%,-44%
,Transition zones,"15,491","14,940","11,417",-4%,-24%
,Fen-meadow zones,"33,529","32,251","32,251",-4%,0%
,Buffer zones in stream valleys,53,51,51,-4%,0%
,Remaining,"152,182","146,666","146,666",-4%,0%
,Total,"214,637","206,791","197,585",-4%,-4%
Gelderland,Nature zones,"10,793","10,570","4,678",-2%,-56%
,Transition zones,"36,360","35,604","23,834",-2%,-33%
,Fen-meadow zones,-,-,-,,
,Buffer zones in stream valleys,"2,333","2,295","2,295",-2%,0%
,Remaining,"168,420","164,912","164,912",-2%,0%
,Total,"217,905","213,380","195,719",-2%,-8%
Groningen,Nature zones,"10,303","9,976","4,822",-3%,-52%
,Transition zones,"4,515","4,375",993,-3%,-77%
,Fen-meadow zones,"6,928","6,690","6,690",-3%,0%
,Buffer zones in stream valleys,37,36,36,-3%,0%
,Remaining,"135,249","130,990","130,990",-3%,0%
,Total,"157,033","152,067","143,530",-3%,-6%
Limburg,Nature zones,"5,607","5,534","2,982",-1%,-46%
,Transition zones,"24,236","24,040","9,635",-1%,-60%
,Fen-meadow zones,-,-,-,,
,Buffer zones in stream valleys,"7,686","7,578","7,578",-1%,0%
,Remaining,"55,791","55,201","55,201",-1%,0%
,Total,"93,319","92,352","75,396",-1%,-18%
Noord Brabant,Nature zones,"15,622","15,288","7,705",-2%,-50%
,Transition zones,"21,042","20,618","10,081",-2%,-51%
,Fen-meadow zones,-,-,-,,
,Buffer zones in stream valleys,"13,934","13,691","13,691",-2%,0%
,Remaining,"172,425","168,751","168,751",-2%,0%
,Total,"223,023","218,348","200,228",-2%,-8%
Noord Holland,Nature zones,"8,485","8,166","3,322",-4%,-59%
,Transition zones,"14,585","14,043","9,710",-4%,-31%
,Fen-meadow zones,"11,201","10,760","10,760",-4%,0%
,Buffer zones in stream valleys,-,-,-,,
,Remaining,"85,891","82,842","82,842",-4%,0%
,Total,"120,161","115,812","106,635",-4%,-8%
Overijssel,Nature zones,"6,343","6,184","3,416",-3%,-45%
,Transition zones,"31,839","31,062","24,113",-2%,-22%
,Fen-meadow zones,"12,573","12,126","12,126",-4%,0%
,Buffer zones in stream valleys,"5,929","5,825","5,825",-2%,0%
,Remaining,"128,191","125,655","125,655",-2%,0%
,Total,"184,875","180,851","171,134",-2%,-5%
Utrecht,Nature zones,"5,408","5,235","2,259",-3%,-57%
,Transition zones,"5,793","5,585","4,702",-4%,-16%
,Fen-meadow zones,"17,004","16,339","16,339",-4%,0%
,Buffer zones in stream valleys,991,968,968,-2%,0%
,Remaining,"37,367","36,120","36,120",-3%,0%
,Total,"66,561","64,247","60,389",-3%,-6%
Zeeland,Nature zones,"5,342","5,192","3,174",-3%,-39%
,Transition zones,"17,176","16,702","3,269",-3%,-80%
,Fen-meadow zones,-,-,-,,
,Buffer zones in stream valleys,-,-,-,,
,Remaining,"92,288","89,998","89,998",-2%,0%
,Total,"114,807","111,892","96,441",-3%,-14%
Zuid Holland,Nature zones,"8,881","8,558","4,934",-4%,-42%
,Transition zones,"7,226","6,974","3,431",-3%,-51%
,Fen-meadow zones,"27,500","26,429","26,429",-4%,0%
,Buffer zones in stream valleys,-,-,-,,
,Remaining,"63,426","61,204","61,204",-4%,0%
,Total,"107,032","103,166","95,998",-4%,-7%
Netherlands total,Nature zones,"104,625","101,695","49,836",-3%,-51%
,Transition zones,"197,066","192,366","110,817",-2%,-42%
,Fen-meadow zones,"108,735","104,595","104,595",-4%,0%
,Buffer zones in stream valleys,"32,069","31,525","31,525",-2%,0%
,Remaining,"1,288,159","1,255,155","1,255,155",-3%,0%
,Total,"1,730,649","1,685,336","1,551,928",-3%,-8%
