NodeId;EmissionTypeId;VariableId;Value;Percentage;Year;Period
A10;AGRIC;N;0.0456812;0;2010;1
A10;AGRIC;N;0.0456812;0;2010;2
A10;AGRIC;P;0.00368159;0;2010;1
A10;AGRIC;P;0.00368159;0;2010;2
A10;ATM;Q;0.0120743;0;2010;2
A10;ATM;Q;0.01333773;0;2010;1
A10;CONSTR;N;0.01767955;0;2010;1
A10;CONSTR;N;0.01767955;0;2010;2
A10;CONSTR;P;0.00255983;0;2010;1
A10;CONSTR;P;0.00255983;0;2010;2
A10;DRAIN;Q;0.27862499;0;2010;2
A10;DRAIN;Q;0.58229641;0;2010;1
A10;EVAP;Q;-0.01681701;0;2010;2
A10;EVAP;Q;-0.0035515;0;2010;1
A10;INFIL;Q;-0.0055177;0;2010;2
A10;INFIL;Q;-0.00311053;0;2010;1
A10;REMAIN;N;0.0157673;0;2010;1
A10;REMAIN;N;0.0157673;0;2010;2
A10;SEEP;Q;0.00291724;0;2010;1
A10;SEEP;Q;0.01445555;0;2010;2
A10;SEWERS;BOD;0.98893351;0;2010;1
A10;SEWERS;BOD;0.98893351;0;2010;2
A10;SEWERS;N;0.07325433;0;2010;1
A10;SEWERS;N;0.07325433;0;2010;2
A10;SEWERS;P;0.00465803;0;2010;1
A10;SEWERS;P;0.00465803;0;2010;2
A10;STONE;N;2.46692686;0;2010;1
A10;STONE;N;2.46692686;0;2010;2
A10;STONE;P;0.2035308;0;2010;1
A10;STONE;P;0.2035308;0;2010;2
A2;AGRIC;N;0.1449337;0;2010;1
A2;AGRIC;N;0.1449337;0;2010;2
A2;AGRIC;P;0.01157446;0;2010;1
A2;AGRIC;P;0.01157446;0;2010;2
A2;ATM;Q;0.02987986;0;2010;2
A2;ATM;Q;0.03300856;0;2010;1
A2;CONSTR;N;0.2297404;0;2010;1
A2;CONSTR;N;0.2297404;0;2010;2
A2;CONSTR;P;0.0332676;0;2010;1
A2;CONSTR;P;0.0332676;0;2010;2
A2;DRAIN;Q;0.56264304;0;2010;2
A2;DRAIN;Q;1.23934145;0;2010;1
A2;EVAP;Q;-0.04165381;0;2010;2
A2;EVAP;Q;-0.00882384;0;2010;1
A2;INFIL;Q;-0.01711041;0;2010;2
A2;INFIL;Q;-0.007664;0;2010;1
A2;REMAIN;N;0.04315508;0;2010;1
A2;REMAIN;N;0.04315508;0;2010;2
A2;SEEP;Q;0.01536226;0;2010;1
A2;SEEP;Q;0.03809756;0;2010;2
A2;SEWERS;BOD;1.36118562;0;2010;1
A2;SEWERS;BOD;1.36118562;0;2010;2
A2;SEWERS;N;0.10082856;0;2010;1
A2;SEWERS;N;0.10082856;0;2010;2
A2;SEWERS;P;0.00247949;0;2010;1
A2;SEWERS;P;0.00247949;0;2010;2
A2;STONE;N;3.62989517;0;2010;1
A2;STONE;N;3.62989517;0;2010;2
A2;STONE;P;0.27790707;0;2010;1
A2;STONE;P;0.27790707;0;2010;2
A3;AGRIC;N;0.07095799;0;2010;1
A3;AGRIC;N;0.07095799;0;2010;2
