Compartimentcode;Compartiment;Stofcode;Stof;Gebiedsindeling;Code_gebied;Gebied;Brontype;Sector;Subsector;Emissieoorzaak;Emissieoorzaak_code;Nic;Bedrijf;Straat;Huisnummer;Toevoeging;Postcode;Woonplaats;Xcoord;Ycoord;Sbi_code;Sbi_naam;Herkomst_code;Herkomst;Dataset;Jaar;Emissie;Eenheid
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2021.0;0.0006721982401973336;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2022.0;0.000740953928071446;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2023.0;0.0008171411419073918;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;1995.0;0.0005643146269581512;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2019.0;1.1704070854232561e-05;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2010.0;0.00069738581203714;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;1990.0;0.0005132339088351062;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2000.0;0.00039032102602665767;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2005.0;0.0015333104683726924;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2015.0;0.0002518228413357567;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2020.0;0.00013018436777578258;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;1990.0;0.0005527120401786725;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2019.0;1.2862710951822897e-05;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2020.0;0.00014003318100257363;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2022.0;0.0008077993401914549;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2023.0;0.0008795806965258193;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2010.0;0.0007643622932068995;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;1995.0;0.0006101494074875871;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2000.0;0.0004208672260900751;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2005.0;0.0016563812877766029;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2015.0;0.00027467081501923995;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Deelstroomgebieden (gaf15-nl);420000000;Schelde territoriaal water  (1 -12 mijl);Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2021.0;0.0007387422524749626;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2022.0;0.00020607226909890396;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Deelstroomgebieden (gaf15-nl);2002;NOORDZEE;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0.0;0.0;;;;;ER Reeks 1990-2023 Definitief ;2023.0;0.0001527874024383717;kg
