q_slug,waterbody,parameter,year,conc_mean_mgL,n_conc_samples,q_annual_mean_m3s,q_source,load_tonnes_per_year
bosbeek_grens,Bosbeek at border,Ntot,1990,5.4483,12,0.481,VMM_L11_51A_full,82.684
bosbeek_grens,Bosbeek at border,Ntot,1991,0.7,6,0.422,VMM_L11_51A_full,9.324
bosbeek_grens,Bosbeek at border,Ntot,1992,0.9,4,0.322,VMM_L11_51A_full,9.143
bosbeek_grens,Bosbeek at border,Ntot,1993,0.7333,6,0.43,VMM_L11_51A_full,9.956
bosbeek_grens,Bosbeek at border,Ntot,1994,0.825,4,0.534,VMM_L11_51A_full,13.895
bosbeek_grens,Bosbeek at border,Ntot,1995,0.7667,12,0.445,VMM_L11_51A_full,10.762
bosbeek_grens,Bosbeek at border,Ntot,1996,0.5714,14,0.338,VMM_L11_51A_full,6.101
bosbeek_grens,Bosbeek at border,Ntot,1997,0.5,6,0.252,VMM_L11_51A_full,3.973
bosbeek_grens,Bosbeek at border,Ntot,1998,0.5857,14,0.321,VMM_L11_51A_full,5.93
bosbeek_grens,Bosbeek at border,Ntot,1999,0.5,11,0.37,VMM_L11_51A_full,5.846
bosbeek_grens,Bosbeek at border,Ntot,2000,0.6429,14,0.402,VMM_L11_51A_full,8.147
bosbeek_grens,Bosbeek at border,Ntot,2001,0.7143,14,0.404,VMM_L11_51A_full,9.102
bosbeek_grens,Bosbeek at border,Ntot,2002,0.7083,12,0.43,VMM_L11_51A_full,9.61
bosbeek_grens,Bosbeek at border,Ntot,2003,0.8167,36,0.331,VMM_L11_51A_full,8.533
bosbeek_grens,Bosbeek at border,Ntot,2004,0.6625,32,0.303,VMM_L11_51A_full,6.331
bosbeek_grens,Bosbeek at border,Ntot,2005,0.5437,32,0.193,VMM_L11_51A_full,3.307
bosbeek_grens,Bosbeek at border,Ntot,2006,0.5357,28,0.165,VMM_L11_51A_full,2.784
bosbeek_grens,Bosbeek at border,Ntot,2008,0.53,10,0.224,VMM_L11_51A_full,3.748
bosbeek_grens,Bosbeek at border,Ntot,2011,0.725,16,0.226,VMM_L11_51A_full,5.178
bosbeek_grens,Bosbeek at border,Ntot,2013,1.0,6,0.193,VMM_L11_51A_full,6.078
bosbeek_grens,Bosbeek at border,Ntot,2014,0.6583,12,0.184,VMM_L11_51A_full,3.827
bosbeek_grens,Bosbeek at border,Ntot,2017,1.0083,6,0.19,VMM_L11_51A_full,6.043
bosbeek_grens,Bosbeek at border,Ntot,2023,1.0243,7,0.324,VMM_L11_51A_full,10.463
bosbeek_grens,Bosbeek at border,Ptot,1990,0.0967,24,0.481,VMM_L11_51A_full,1.467
bosbeek_grens,Bosbeek at border,Ptot,1991,0.099,6,0.422,VMM_L11_51A_full,1.319
bosbeek_grens,Bosbeek at border,Ptot,1992,0.425,4,0.322,VMM_L11_51A_full,4.317
bosbeek_grens,Bosbeek at border,Ptot,1993,0.08,6,0.43,VMM_L11_51A_full,1.086
bosbeek_grens,Bosbeek at border,Ptot,1994,0.05,4,0.534,VMM_L11_51A_full,0.842
bosbeek_grens,Bosbeek at border,Ptot,1995,0.09,12,0.445,VMM_L11_51A_full,1.263
bosbeek_grens,Bosbeek at border,Ptot,1996,0.0543,14,0.338,VMM_L11_51A_full,0.58
bosbeek_grens,Bosbeek at border,Ptot,1997,0.07,6,0.252,VMM_L11_51A_full,0.556
bosbeek_grens,Bosbeek at border,Ptot,1998,0.0446,14,0.321,VMM_L11_51A_full,0.451
bosbeek_grens,Bosbeek at border,Ptot,1999,0.0747,11,0.37,VMM_L11_51A_full,0.874
bosbeek_grens,Bosbeek at border,Ptot,2000,0.048,14,0.402,VMM_L11_51A_full,0.608
