station,date,q_daily_mean_m3s,n_samples
Borgharen,2000-01-01,889.37,145
Borgharen,2000-01-02,833.37,145
Borgharen,2000-01-03,777.81,145
Borgharen,2000-01-04,765.3,145
Borgharen,2000-01-05,880.43,145
Borgharen,2000-01-06,819.71,145
Borgharen,2000-01-07,719.47,145
Borgharen,2000-01-08,683.85,145
Borgharen,2000-01-09,585.25,145
Borgharen,2000-01-10,549.56,145
Borgharen,2000-01-11,453.76,145
Borgharen,2000-01-12,412.09,145
Borgharen,2000-01-13,362.72,145
Borgharen,2000-01-14,354.93,145
Borgharen,2000-01-15,347.72,145
Borgharen,2000-01-16,347.41,145
Borgharen,2000-01-17,284.89,145
Borgharen,2000-01-18,271.71,145
Borgharen,2000-01-19,254.65,145
Borgharen,2000-01-20,252.13,145
Borgharen,2000-01-21,213.25,145
Borgharen,2000-01-22,259.06,145
Borgharen,2000-01-23,329.27,145
Borgharen,2000-01-24,315.18,145
Borgharen,2000-01-25,267.13,145
Borgharen,2000-01-26,234.78,145
Borgharen,2000-01-27,214.91,145
Borgharen,2000-01-28,193.8,145
Borgharen,2000-01-29,236.84,145
Borgharen,2000-01-30,572.11,145
Borgharen,2000-01-31,805.01,145
Borgharen,2000-02-01,687.98,147
Borgharen,2000-02-02,579.31,145
Borgharen,2000-02-03,500.24,145
Borgharen,2000-02-04,443.61,145
Borgharen,2000-02-05,402.43,145
Borgharen,2000-02-06,400.93,145
Borgharen,2000-02-07,343.61,145
Borgharen,2000-02-08,396.51,145
Borgharen,2000-02-09,606.33,145
Borgharen,2000-02-10,582.02,145
Borgharen,2000-02-11,662.44,145
Borgharen,2000-02-12,641.07,145
Borgharen,2000-02-13,631.72,145
Borgharen,2000-02-14,629.53,145
Borgharen,2000-02-15,620.9,145
Borgharen,2000-02-16,682.29,145
Borgharen,2000-02-17,778.06,145
Borgharen,2000-02-18,732.94,145
Borgharen,2000-02-19,814.48,145
Borgharen,2000-02-20,891.14,145
Borgharen,2000-02-21,815.33,145
Borgharen,2000-02-22,706.15,145
Borgharen,2000-02-23,674.36,145
Borgharen,2000-02-24,602.43,145
Borgharen,2000-02-25,634.4,145
Borgharen,2000-02-26,668.28,145
Borgharen,2000-02-27,611.91,145
Borgharen,2000-02-28,558.81,145
Borgharen,2000-02-29,535.94,145
Borgharen,2000-03-01,633.17,147
Borgharen,2000-03-02,728.01,145
Borgharen,2000-03-03,744.21,145
Borgharen,2000-03-04,1161.24,145
Borgharen,2000-03-05,1021.13,145
Borgharen,2000-03-06,866.9,145
Borgharen,2000-03-07,749.89,145
Borgharen,2000-03-08,690.0,145
Borgharen,2000-03-09,692.48,145
Borgharen,2000-03-10,598.49,145
Borgharen,2000-03-11,544.75,145
Borgharen,2000-03-12,515.4,145
Borgharen,2000-03-13,435.34,145
Borgharen,2000-03-14,392.7,145
Borgharen,2000-03-15,376.14,145
Borgharen,2000-03-16,335.68,145
Borgharen,2000-03-17,326.3,145
Borgharen,2000-03-18,312.37,145
Borgharen,2000-03-19,325.2,145
Borgharen,2000-03-20,269.71,145
Borgharen,2000-03-21,258.32,145
Borgharen,2000-03-22,239.14,145
Borgharen,2000-03-23,231.54,145
Borgharen,2000-03-24,225.39,145
Borgharen,2000-03-25,226.69,145
Borgharen,2000-03-26,293.39,145
Borgharen,2000-03-27,300.29,145
Borgharen,2000-03-28,327.45,145
Borgharen,2000-03-29,293.32,145
Borgharen,2000-03-30,283.28,145
Borgharen,2000-03-31,338.0,145
Borgharen,2000-04-01,455.25,147
Borgharen,2000-04-02,447.9,145
Borgharen,2000-04-03,376.43,145
Borgharen,2000-04-04,340.58,145
Borgharen,2000-04-05,304.67,145
Borgharen,2000-04-06,276.28,145
Borgharen,2000-04-07,229.11,145
Borgharen,2000-04-08,231.96,145
Borgharen,2000-04-09,245.05,145
Borgharen,2000-04-10,211.89,145
Borgharen,2000-04-11,183.36,145
Borgharen,2000-04-12,183.69,145
Borgharen,2000-04-13,167.24,145
Borgharen,2000-04-14,192.22,145
Borgharen,2000-04-15,237.19,145
Borgharen,2000-04-16,265.99,145
Borgharen,2000-04-17,233.89,145
Borgharen,2000-04-18,237.32,145
Borgharen,2000-04-19,237.78,145
Borgharen,2000-04-20,213.11,145
Borgharen,2000-04-21,193.53,145
Borgharen,2000-04-22,206.24,145
Borgharen,2000-04-23,333.35,145
Borgharen,2000-04-24,362.12,145
Borgharen,2000-04-25,302.68,145
Borgharen,2000-04-26,222.89,145
Borgharen,2000-04-27,200.55,145
Borgharen,2000-04-28,193.44,145
Borgharen,2000-04-29,205.41,145
Borgharen,2000-04-30,218.45,145
Borgharen,2000-05-01,185.74,147
Borgharen,2000-05-02,138.04,145
Borgharen,2000-05-03,117.7,145
Borgharen,2000-05-04,134.3,145
Borgharen,2000-05-05,141.42,145
Borgharen,2000-05-06,138.2,145
Borgharen,2000-05-07,164.11,145
Borgharen,2000-05-08,162.21,145
Borgharen,2000-05-09,148.26,145
Borgharen,2000-05-10,131.88,145
Borgharen,2000-05-11,152.19,145
Borgharen,2000-05-12,219.49,145
Borgharen,2000-05-13,161.67,145
Borgharen,2000-05-14,180.2,145
Borgharen,2000-05-15,114.55,145
Borgharen,2000-05-16,103.78,145
Borgharen,2000-05-17,122.9,145
Borgharen,2000-05-18,126.98,145
Borgharen,2000-05-19,113.79,145
Borgharen,2000-05-20,133.53,145
Borgharen,2000-05-21,147.6,145
Borgharen,2000-05-22,153.59,145
Borgharen,2000-05-23,127.44,145
Borgharen,2000-05-24,112.92,145
Borgharen,2000-05-25,132.96,145
Borgharen,2000-05-26,118.73,145
Borgharen,2000-05-27,105.94,145
Borgharen,2000-05-28,129.48,145
Borgharen,2000-05-29,105.45,145
Borgharen,2000-05-30,93.61,145
Borgharen,2000-05-31,98.57,145
Borgharen,2000-06-01,135.12,147
Borgharen,2000-06-02,103.61,145
Borgharen,2000-06-03,101.53,145
Borgharen,2000-06-04,158.46,145
Borgharen,2000-06-05,138.4,145
Borgharen,2000-06-06,138.7,145
Borgharen,2000-06-07,166.49,145
Borgharen,2000-06-08,106.69,145
Borgharen,2000-06-09,96.58,145
Borgharen,2000-06-10,75.52,145
Borgharen,2000-06-11,101.07,145
Borgharen,2000-06-12,85.82,145
Borgharen,2000-06-13,64.38,145
Borgharen,2000-06-14,56.94,145
Borgharen,2000-06-15,42.39,145
Borgharen,2000-06-16,53.99,145
Borgharen,2000-06-17,52.94,145
Borgharen,2000-06-18,75.94,145
Borgharen,2000-06-19,53.38,145
Borgharen,2000-06-20,18.04,145
Borgharen,2000-06-21,43.12,145
Borgharen,2000-06-22,45.13,145
Borgharen,2000-06-23,26.69,145
Borgharen,2000-06-24,42.87,145
Borgharen,2000-06-25,69.78,145
