Compartimentcode;Compartiment;Stofcode;Stof;Gebiedsindeling;Code_gebied;Gebied;Brontype;Sector;Subsector;Emissieoorzaak;Emissieoorzaak_code;Nic;Bedrijf;Straat;Huisnummer;Toevoeging;Postcode;Woonplaats;Xcoord;Ycoord;Sbi_code;Sbi_naam;Herkomst_code;Herkomst;Dataset;Jaar;Emissie;Eenheid
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1990;37400.0;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1995;30500.0;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2000;110192.419932632;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2005;111987.493349211;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2010;111699.442105263;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2015;69243.3427125;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2019;59123.9072206579;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2020;60835.9840602632;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2021;45166.0392252632;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2022;45867.141615;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2023;43784.2185892105;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1990;829000.0;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1995;583000.0;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2000;888443.413784211;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2005;879847.826194737;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2010;856955.947368421;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2015;553966.48325;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2019;488581.134571053;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2020;502976.110468421;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2021;407502.290268421;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2022;414787.4168;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Glastuinbouw afvalwater;Glastuinbouw;0450400;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2023;398355.080494737;kg
