Compartimentcode;Compartiment;Stofcode;Stof;Gebiedsindeling;Code_gebied;Gebied;Brontype;Sector;Subsector;Emissieoorzaak;Emissieoorzaak_code;Nic;Bedrijf;Straat;Huisnummer;Toevoeging;Postcode;Woonplaats;Xcoord;Ycoord;Sbi_code;Sbi_naam;Herkomst_code;Herkomst;Dataset;Jaar;Emissie;Eenheid
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1990;48864.6677706332;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1995;18513.9776615979;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2000;21439.7336117528;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2005;20226.1433223155;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2010;23508.4867084786;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2015;16269.3339324498;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2019;7516.58676669551;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2020;13078.9809435698;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2021;10622.7494859769;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2022;25335.5913149833;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2023;27295.4511347115;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1990;225894.357546968;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1995;123933.857603624;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2000;192933.885312935;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2005;75093.4750168645;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2010;136864.800111603;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2015;57571.4409415998;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2019;80424.473425506;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2020;124697.924618533;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2021;94431.838397445;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2022;93044.2273402132;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Afspoeling nutriënten landbouwgronden;0403310;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2023;159752.468618271;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1990;60063805.9110476;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1995;79081024.785651;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2000;87974233.293454;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2005;38734973.2817082;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2010;40867074.8942719;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2015;47495345.7377645;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2019;34572698.5714908;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2020;40317899.545463;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2021;37517940.5970647;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2022;30619902.9512072;kg
20;Belasting van oppervlaktewater;303;N - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;2023;58704023.0061147;kg
20;Belasting van oppervlaktewater;302;P - Totaal;Nederland;;Nederland;Emissieoorzaak;Landbouw;Uit- en afspoeling landbouwgronden;Uitspoeling nutriënten landbouwgronden;0403410;;;;;;;;0;0;;;;;ER Reeks 1990-2023 Definitief ;1990;2834547.95431171;kg
