gar_bro_id,date,gmw_bro_id,nitg_code,tube_number,screen_top_m_nap,screen_bottom_m_nap,ground_level_m_nap,screen_depth_below_ground_m,NO3_mgL,NO3_limit,NH4_mgL,NH4_limit,NO2_mgL,NO2_limit,Cl_mgL,SO4_mgL
GAR000000004142,1951-08-01,GMW000000037630,B26F0001,5,-317.04,-318.04,-3.02,315.02,,,,,,,,212
GAR000000004143,1951-02-19,GMW000000037630,B26F0001,5,-317.04,-318.04,-3.02,315.02,0.0045,LT,5.05,,0.006,LT,,204
GAR000000004144,1963-04-19,GMW000000037630,B26F0001,5,-317.04,-318.04,-3.02,315.02,0.0045,LT,1.78,,0.006,LT,,175
GAR000000004145,1965-12-27,GMW000000037630,B26F0001,5,-317.04,-318.04,-3.02,315.02,0.0045,LT,1.47,,0.006,LT,,192
GAR000000004146,1965-11-09,GMW000000037630,B26F0001,5,-317.04,-318.04,-3.02,315.02,0.0045,LT,1.4,,,,,193
GAR000000004147,1980-09-11,GMW000000037630,B26F0001,5,-317.04,-318.04,-3.02,315.02,0.02,LT,0.17,,0.006,LT,,9
GAR000000004148,1990-11-15,GMW000000037630,B26F0001,5,-317.04,-318.04,-3.02,315.02,0.0045,LT,0.15,,0.006,LT,0.5,8
GAR000000004149,1997-10-03,GMW000000037630,B26F0001,5,-317.04,-318.04,-3.02,315.02,0.11,LT,0.18,,0.006,LT,0.6,12
GAR000000004566,1956-08-17,GMW000000037668,B26E0003,6,-297.05,-298.05,2.69,300.74,0.0045,LT,0.35,,0.006,LT,,39
GAR000000004567,1965-11-30,GMW000000037668,B26E0003,6,-297.05,-298.05,2.69,300.74,0.0045,LT,0.21,,0.006,LT,,55
GAR000000004568,1969-06-26,GMW000000037668,B26E0003,6,-297.05,-298.05,2.69,300.74,0.0045,LT,0.24,,0.006,LT,,61
GAR000000004569,2003-01-24,GMW000000037668,B26E0003,6,-297.05,-298.05,2.69,300.74,0.11,LT,0.28,,0.006,LT,2.4,62
GAR000000004318,1994-11-28,GMW000000037610,B26B0109,8,-279.18,-280.18,-4.2,275.98,0.01,LT,1.16,,0.01,LT,3.3,415
GAR000000004319,1998-11-11,GMW000000037610,B26B0109,8,-279.18,-280.18,-4.2,275.98,0.11,LT,1.4,,0.006,LT,0.7,340
GAR000000004320,2015-10-06,GMW000000037610,B26B0109,8,-279.18,-280.18,-4.2,275.98,0.05,LT,1.4,,0.01,,10,440
GAR000000004401,1996-11-28,GMW000000011627,B26C0404,8,-271.75,-272.75,-3.47,269.28,0.88,,0.93,,0.003,LT,1.8,670
GAR000000004402,2015-10-09,GMW000000011627,B26C0404,8,-271.75,-272.75,-3.47,269.28,0.05,LT,0.85,,0.01,,13,680
GAR000000003904,1997-10-03,GMW000000011634,B26F0194,8,-266.41,-268.41,1.9,270.31,0.11,LT,0.45,,0.006,LT,1.4,7
GAR000000003905,2003-01-17,GMW000000011634,B26F0194,8,-266.41,-268.41,1.9,270.31,0.11,LT,0.12,,0.006,LT,0.7,7
GAR000000003906,2006-06-06,GMW000000011634,B26F0194,8,-266.41,-268.41,1.9,270.31,0.01,LT,0.11,,0.003,LT,,130
GAR000000003907,2018-12-04,GMW000000011634,B26F0194,8,-266.41,-268.41,1.9,270.31,0.05,LT,0.17,,0.01,LT,5,5.9
GAR000000065402,2024-10-01,GMW000000011634,B26F0194,8,-266.41,-268.41,1.9,270.31,0.05,,0.15,,0.01,LT,141.7,6.26
GAR000000004134,1951-08-01,GMW000000037630,B26F0001,4,-267.06,-268.06,-3.02,265.04,,,,,,,,12
GAR000000004135,1951-02-19,GMW000000037630,B26F0001,4,-267.06,-268.06,-3.02,265.04,0.0045,LT,0.48,,0.006,LT,,34
GAR000000004136,1963-04-19,GMW000000037630,B26F0001,4,-267.06,-268.06,-3.02,265.04,0.0045,LT,0.24,,,,,9
