uwwcode,uwwname,year,status,latitude,longitude,capacit_pe,loadent_pe,treatment,nremoval,premoval,collecsyst
NL01006,UWWTP SIDDEBUREN,2014,Active,53.2496,6.88904,3915,40721,More stringent,Yes,Yes,Connected to UWWTP
NL01006,UWWTP SIDDEBUREN,2012,Active,53.2496,6.88904,3915,4300,More stringent,Yes,Yes,Connected to UWWTP
NL01008,UWWTP STADSKANAAL,2022,Active,53.012133,6.956217,36981,29366,More stringent,Yes,Yes,Connected to UWWTP
NL01008,UWWTP STADSKANAAL,2020,Active,53.012133,6.956217,36981,26405,More Stringent,Yes,Yes,Connected to UWWTP
NL01008,UWWTP STADSKANAAL,2018,Active,53.012133,6.956217,36981,16083,More stringent,,,Connected to UWWTP
NL01008,UWWTP STADSKANAAL,2016,Active,53.012133,6.956217,36981,8801,More stringent,Yes,Yes,Connected to UWWTP
NL01008,UWWTP STADSKANAAL,2014,Active,53.012133,6.956217,36981,4347,More stringent,Yes,Yes,Connected to UWWTP
NL01008,UWWTP STADSKANAAL,2012,Active,53.012133,6.956217,36981,126350,More stringent,Yes,Yes,Connected to UWWTP
NL01010,UWWTP TER APEL,2022,Active,52.87895,7.098517,19404,18483,More stringent,Yes,Yes,Connected to UWWTP
NL01010,UWWTP TER APEL,2020,Active,52.87895,7.098517,19404,18650,More Stringent,Yes,Yes,Connected to UWWTP
NL01010,UWWTP TER APEL,2018,Active,52.87895,7.098517,19404,11276,More stringent,,,Connected to UWWTP
NL01010,UWWTP TER APEL,2016,Active,52.87895,7.098517,19350,19045,More stringent,Yes,Yes,Connected to UWWTP
NL01010,UWWTP TER APEL,2014,Active,52.87895,7.098517,19350,138372,More stringent,Yes,Yes,Connected to UWWTP
NL01010,UWWTP TER APEL,2012,Active,52.87895,7.098517,19350,19729,More stringent,Yes,Yes,Connected to UWWTP
NL01011,UWWTP UITHUIZERMEEDEN,2022,Active,53.4084,6.73855,10133,7866,More stringent,Yes,Yes,Connected to UWWTP
NL01011,UWWTP UITHUIZERMEEDEN,2020,Active,53.4084,6.73855,10133,9876,More Stringent,Yes,Yes,Connected to UWWTP
NL01011,UWWTP UITHUIZERMEEDEN,2018,Active,53.4084,6.73855,10133,6887,More stringent,,,Connected to UWWTP
NL01011,UWWTP UITHUIZERMEEDEN,2016,Active,53.4084,6.73855,6300,33638,More stringent,Yes,Yes,Connected to UWWTP
NL01011,UWWTP UITHUIZERMEEDEN,2014,Active,53.4084,6.73855,6300,20604,More stringent,Yes,Yes,Connected to UWWTP
NL01011,UWWTP UITHUIZERMEEDEN,2012,Active,53.4084,6.73855,6300,10534,More stringent,Yes,Yes,Connected to UWWTP
NL01013,UWWTP DE WILP,2014,Active,53.1201,6.25857,1350,9800,More stringent,Yes,Yes,Connected to UWWTP
NL01013,UWWTP DE WILP,2012,Active,53.1201,6.25857,1350,46489,More stringent,Yes,Yes,Connected to UWWTP
NL01014,UWWTP BOURTANGE,2014,Active,53.0117,7.19231,1215,31534,More stringent,Yes,Yes,Connected to UWWTP
NL01014,UWWTP BOURTANGE,2012,Active,53.0117,7.19231,1215,22959,More stringent,Yes,Yes,Connected to UWWTP
