uwwcode,name,repcode,capacity_ie,load_entering_ie,wastewater_treated_m3yr,N_effluent_ton_yr,P_effluent_ton_yr,N_removal_pct,P_removal_pct,lat,lon
NL17061,UWWTP ROTTERDAM-DOKHAVEN,NL2022,423000.0,385503.0,46353073.0,766.404,53.619,,,51.89603333,4.46468333
NL11014,UWWTP AMSTERDAM-WEST,NL2022,733320.0,722089.0,64187428.0,486.048,39.0522,,,52.39901666,4.78625
NL15008,UWWTP HARNASCHPOLDER,NL2022,696636.0,825690.0,,485.322222,56.941182,,,52.0154,4.31888333
NL27003,UWWTP EINDHOVEN,NL2022,443700.0,500918.0,57309706.0,407.724,36.5634,,,51.46011666,5.50581666
NL25021,UWWTP BATH,NL2022,353610.0,409518.0,37352790.0,391.254,78.324,,,51.39941666,4.24661666
NL01033,UWWTP GARMERWOLDE,NL2022,213300.0,245671.0,29948820.0,389.79,14.3472,,,53.2483,6.67183333
NL25017,UWWTP NIEUWVEER,NL2022,360000.0,239521.0,27094100.0,299.022,36.3804,,,51.63016666,4.70793333
NL30017,UWWTP VENLO,NL2022,251640.0,212564.0,27829344.0,269.376,12.4074,,,51.38146666,6.15813333
NL16010,UWWTP KRALINGSEVEER,NL2022,324000.0,206748.0,30256773.0,239.364,25.5834,,,51.90855,4.54195
NL15007,UWWTP GROOTE LUCHT,NL2022,176700.0,167373.0,,238.078242,60.134898,,,51.89998333,4.3031
NL08022,UWWTP APELDOORN,NL2022,198000.0,149775.0,22031879.0,234.24,39.894,,,52.23868333,5.97143333
NL27008,UWWTP 'S HERTOGENBOSCH,NL2022,248200.0,278226.0,19319876.0,227.286,25.437,,,51.721,5.28345
NL15005,UWWTP HOUTRUST,NL2022,244800.0,272952.0,,222.907542,14.781276,,,52.08856666,4.26655
NL09024,UWWTP NIJMEGEN,NL2022,297000.0,291045.0,22085172.0,211.548,39.528,,,51.8485,5.79643333
NL10027,UWWTP AMERSFOORT,NL2022,189000.0,206764.0,15448404.0,204.594,12.3708,,,52.17421666,5.34861666
NL32002,UWWTP TILBURG-NOORD,NL2022,400500.0,302693.0,22249936.0,199.836,11.895,,,51.60196666,5.06821666
NL12022,UWWTP BEVERWIJK,NL2022,212310.0,161959.0,19473935.0,175.314,16.7262,,,52.47421666,4.6686
NL30024,UWWTP ROERMOND,NL2022,135630.0,133715.0,15356709.0,174.582,10.1016,,,51.2193,5.98885
NL17044,UWWTP DORDRECHT,NL2022,211500.0,138979.0,18187852.0,167.628,12.3342,,,51.81648333,4.73683333
NL31005,UWWTP AMSTERDAN-WESTPOORT,NL2022,361800.0,320425.0,22522618.0,166.164,10.431,,,52.41321666,4.80223333
NL21001,UWWTP WALCHEREN,NL2022,117000.0,111772.0,14217623.0,154.818,13.1394,,,51.44365,3.61451666
NL12013,UWWTP GEESTMERAMBACHT,NL2022,154080.0,166588.0,16780538.0,152.988,10.5042,,,52.69445,4.7372
NL05017,UWWTP HENGELO,NL2022,176400.0,111671.0,13671250.0,152.256,10.98,,,52.27896666,6.77135
NL07020,UWWTP NIEUWGRAAF,NL2022,234000.0,211778.0,18262014.0,145.302,11.4192,,,51.97245,6.00255
NL10009,UWWTP UTRECHT,NL2022,324115.0,249164.0,23928228.0,139.08,14.0178,,,52.1099,5.10796666
NL28003,UWWTP AARLE-RIXTEL,NL2022,324000.0,231582.0,25115648.0,136.152,21.7404,,,51.50598333,5.66298333
NL04026,UWWTP ZWOLLE,NL2022,112168.0,139414.0,9646336.0,129.198,14.1276,,,52.50871666,6.04935
NL06005,UWWTP ALMERE,NL2022,223740.0,223460.0,12587440.0,120.048,9.8454,,,52.39955,5.24615
NL13010,UWWTP HAARLEM-WAARDERPOLDER,NL2022,144000.0,180225.0,21166350.0,116.388,15.1524,,,52.39656666,4.66875
NL05002,UWWTP ENSCHEDE,NL2022,247500.0,196119.0,15441317.0,116.022,14.64,,,52.23411666,6.84063333
NL08021,UWWTP EDE,NL2022,171000.0,183083.0,14162203.0,112.362,9.699,,,52.04006666,5.61938333
NL12021,UWWTP WERVERSHOOF,NL2022,170730.0,194782.0,18004939.0,111.996,9.1866,,,52.7328,5.13553333
NL10028,UWWTP NIEUWEGEIN,NL2022,108000.0,84614.0,9586688.0,109.8,7.5396,,,52.00391666,5.07053333
NL25023,UWWTP DONGEMOND,NL2022,97200.0,111922.0,11167900.0,106.872,8.4546,,,51.67456666,4.85123333
NL30022,UWWTP SUSTEREN,NL2022,189585.0,180476.0,19211067.0,106.506,5.8194,,,51.06256666,5.83358333
NL30015,UWWTP HOENSBROEK,NL2022,216000.0,142405.0,26519508.0,105.408,9.8088,,,50.91255,5.91496666
NL13003,UWWTP VELSEN,NL2022,85500.0,82508.0,6702551.0,100.284,9.2964,,,52.45941666,4.65998333
NL08011,UWWTP HARDERWIJK,NL2022,137700.0,182013.0,12688400.0,98.82,6.7344,,,52.35778333,5.6311
NL30005,UWWTP WEERT,NL2022,90000.0,98602.0,7900892.0,96.624,7.1736,,,51.2666,5.73538333
NL20011,UWWTP WILLEM ANNAPOLDER,NL2022,72810.0,69055.0,9036052.0,95.892,10.431,,,51.45008333,3.9345
NL30003,UWWTP MAASTRICHT-LIMMEL,NL2022,99990.0,86820.0,11132021.0,94.794,10.065,,,50.87116666,5.7054
NL07022,UWWTP ETTEN,NL2022,148500.0,163179.0,11155404.0,90.036,4.026,,,51.93268333,6.32051666
NL28005,UWWTP DINTHER,NL2022,203400.0,195233.0,16995369.0,89.304,17.6412,,,51.63681666,5.52945
NL30023,UWWTP PANHEEL,NL2022,22500.0,42148.0,2782708.0,79.056,19.2516,,,51.1717,5.87906666
NL09016,UWWTP ARNHEM,NL2022,148500.0,179256.0,10892160.0,78.324,4.2456,,,51.96726666,5.85476666
NL08024,UWWTP RENKUM,NL2022,108000.0,64125.0,5492610.0,77.7018,19.8738,,,51.96683333,5.7248
NL04019,UWWTP DEVENTER,NL2022,111217.0,103332.0,7974049.0,76.494,3.6234,,,52.27118333,6.1288
NL08025,UWWTP TERWOLDE,NL2022,22500.0,27324.0,2798432.0,76.494,4.0626,,,52.26073333,6.12396666
NL29003,UWWTP LAND VAN CUIJK (HAPS),NL2022,118800.0,128935.0,12229137.0,73.566,6.1488,,,51.69625,5.89348333
NL03030,UWWTP EELDE,NL2022,72000.0,72548.0,6885969.0,72.834,15.5916,,,53.12858333,6.60333333
NL11005,UWWTP AMSTELVEEN,NL2022,89703.0,93538.0,10242960.0,72.834,6.039,,,52.31231666,4.88953333
NL12014,UWWTP BEEMSTER,NL2022,102600.0,97683.0,9074640.0,72.102,8.967,,,52.51913333,4.91575
NL12010,UWWTP ZAANDAM-OOST,NL2022,106290.0,102028.0,7255513.0,71.37,6.4416,,,52.4301,4.85823333
NL29002,UWWTP OIJEN,NL2022,270000.0,203907.0,18675472.0,70.272,17.934,,,51.81196666,5.48823333
NL11013,UWWTP HORSTERMEER,NL2022,102240.0,113326.0,9232294.0,63.684,3.0744,,,52.25803333,5.08566666
NL15004,UWWTP NIEUWE WATERWEG,NL2022,65835.0,68943.0,,62.676768,22.86219,,,51.96625,4.15323333
NL13044,UWWTP ZWAANSHOEK,NL2022,144000.0,126361.0,13531030.0,60.756,6.771,,,52.30338333,4.60686666
NL23002,UWWTP TERNEUZEN,NL2022,69750.0,43518.0,7275630.0,59.658,5.3802,,,51.29663333,3.83831666
NL04027,UWWTP TOLLEBEEK,NL2022,90990.0,127464.0,7200597.0,58.926,7.5762,,,52.68596666,5.68298333
NL02011,UWWTP LEEUWARDEN,NL2022,153000.0,131944.0,15973887.0,58.39896,11.037462,,,53.19505,5.8286
NL12023,UWWTP DEN HELDER,NL2022,81000.0,62086.0,7674145.0,56.73,4.392,,,52.9288,4.7901
NL30021,UWWTP STEIN,NL2022,27000.0,23163.0,2814902.0,56.364,1.9398,,,50.9744,5.75168333
NL30025,UWWTP GENNEP,NL2022,52200.0,31686.0,3911378.0,55.266,4.758,,,51.70521666,5.96403333
NL13005,UWWTP ZWANENBURG,NL2022,162000.0,92185.0,11224427.0,54.9,6.9906,,,52.3616,4.73975
NL13041,UWWTP KATWIJK,NL2022,144000.0,169329.0,12539773.0,54.168,5.1606,,,52.20251666,4.44016666
NL03010,UWWTP ASSEN,NL2022,85500.0,77595.0,7436683.0,53.802,5.49,,,53.00235,6.57623333
NL08005,UWWTP NIJKERK,NL2022,46260.0,100624.0,6572074.0,52.338,2.6718,,,52.23174,5.47382
NL10010,UWWTP SOEST,NL2022,90000.0,78096.0,6768947.0,52.338,3.3306,,,52.19468333,5.29798333
NL12006,UWWTP ALKMAAR,NL2022,126000.0,47696.0,4988000.0,52.338,4.4286,,,52.64233333,4.74111666
NL09025,UWWTP TIEL,NL2022,76500.0,94558.0,7136976.0,51.606,11.9316,,,51.91711666,5.43271666
NL03022,UWWTP EMMEN,NL2022,150300.0,127381.0,11100436.0,50.874,3.294,,,52.73116666,6.88136666
NL17078,UWWTP ZWIJNDRECHT,NL2022,158337.0,115348.0,15920478.0,50.874,11.2728,,,51.81311666,4.5805
NL27004,UWWTP BOXTEL,NL2022,62280.0,39307.0,5509462.0,50.874,4.8678,,,51.60866666,5.32801666
NL10001,UWWTP ZEIST,NL2022,67500.0,56688.0,4788102.0,49.4466,0.8784,,,52.08673333,5.21066666
NL02012,UWWTP DRACHTEN,NL2022,54000.0,72015.0,8912152.0,48.62127,2.025078,,,53.11268333,6.05985
NL14002,UWWTP WOERDEN,NL2022,56970.0,49836.0,5578998.0,47.214,3.843,,,52.08566666,4.85466666
NL03033,UWWTP ECHTEN (DR),NL2022,90000.0,101978.0,10042301.0,46.848,8.601,,,52.71016666,6.41586666
NL07021,UWWTP OLBURGEN,NL2022,81000.0,62387.0,10857138.0,46.848,12.7002,,,52.04666666,6.14521666
NL09041,UWWTP ZALTBOMMEL,NL2022,49500.0,75138.0,6453015.0,46.482,8.418,,,51.81528333,5.2669
NL26005,UWWTP SLEEUWIJK,NL2022,48600.0,51323.0,6400681.0,45.75,9.0036,,,51.81543333,4.93038333
NL30019,UWWTP WIJLRE,NL2022,43200.0,35329.0,4888662.0,44.286,2.3058,,,50.82645,5.89526666
NL02038,UWWTP FRANEKER,NL2022,54000.0,38474.0,4654480.0,43.311708,5.739246,,,53.17791666,5.57895
