stof,subsector,emissieoorzaak,jaar,emissie_kg
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,1990,48864.6677706332
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,1995,18513.9776615979
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2000,21439.7336117528
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2005,20226.1433223155
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2010,23508.4867084786
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2015,16269.3339324498
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2019,7516.58676669551
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2020,13078.9809435698
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2021,10622.7494859769
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2022,25335.5913149833
P - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2023,27295.4511347115
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,1990,225894.357546968
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,1995,123933.857603624
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2000,192933.885312935
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2005,75093.4750168645
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2010,136864.800111603
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2015,57571.4409415998
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2019,80424.473425506
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2020,124697.924618533
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2021,94431.838397445
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2022,93044.2273402132
N - Totaal,Uit- en afspoeling landbouwgronden,Afspoeling nutriënten landbouwgronden,2023,159752.468618271
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,1990,60063805.9110476
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,1995,79081024.785651
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2000,87974233.293454
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2005,38734973.2817082
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2010,40867074.8942719
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2015,47495345.7377645
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2019,34572698.5714908
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2020,40317899.545463
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2021,37517940.5970647
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2022,30619902.9512072
N - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2023,58704023.0061147
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,1990,2834547.95431171
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,1995,4022912.758367
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2000,4550441.32454478
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2005,2892910.63736239
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2010,3347210.37486429
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2015,4059562.36358066
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2019,2794347.54471996
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2020,3297516.89361688
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2021,3058337.85649326
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2022,2652440.62836288
P - Totaal,Uit- en afspoeling landbouwgronden,Uitspoeling nutriënten landbouwgronden,2023,5482616.79899771
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,1990,30841.5185418299
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,1995,54744.8680943838
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2000,47444.5490322679
N - Totaal,Uit- en afspoeling natuurgronden,Afspoeling nutriënten natuurgronden,2005,46987.6478282376
