bron,datum,datum_iso,dagnr,NH4_N_mg_per_L,NO3_NO2_N_mg_per_L,TDN_opgelost_N_mg_per_L,DON_mg_per_L,TN_totaal_N_mg_per_L,DRP_orthoP_mg_per_L,TDP_opgelost_P_mg_per_L,MUP_mg_per_L,TP_totaal_P_mg_per_L
referentiedrain_1,11-11-2010,2010-11-11,45,4.77,0.13,6.8,1.9,7.33,0.059,0.07,0.011,2.26
referentiedrain_1,10-1-2011,2011-01-10,105,,,,1.9,6.88,1.66,1.98,0.32,2.19
referentiedrain_1,13-1-2011,2011-01-13,108,4.24,0.06,6.2,2.4,7.74,1.79,1.96,0.17,2.02
referentiedrain_1,17-1-2011,2011-01-17,112,,,,1.6,4.97,1.06,1.32,0.26,1.39
referentiedrain_1,26-1-2011,2011-01-26,121,4.57,0.17,7.1,1.9,6.63,1.06,1.53,0.47,2.44
referentiedrain_1,4-2-2011,2011-02-04,130,,,,2.0,6.26,1.75,1.7,,1.98
referentiedrain_1,15-2-2011,2011-02-15,141,3.12,0.08,4.8,2.0,6.68,2.77,2.8,0.03,2.81
referentiedrain_1,24-2-2011,2011-02-24,150,,,,2.1,4.94,1.79,2.15,0.36,2.43
referentiedrain_1,1-3-2011,2011-03-01,155,4.27,0.1,6.3,1.8,6.7,2.62,2.85,0.23,2.82
referentiedrain_1,7-10-2011,2011-10-07,375,,,,2.0,5.77,0.613,0.77,0.157,2.7
referentiedrain_1,10-10-2011,2011-10-10,378,3.64,0.08,5.7,1.5,5.32,1.4,1.53,0.13,2.23
referentiedrain_1,11-10-2011,2011-10-11,379,,,,1.5,5.12,0.436,1.18,0.744,1.99
referentiedrain_1,12-10-2011,2011-10-12,380,4.31,<dl,6.3,1.8,5.4,0.446,0.47,0.024,2.13
referentiedrain_1,18-10-2011,2011-10-18,386,,,,2.0,5.87,1.54,1.67,0.13,2.19
referentiedrain_1,5-12-2011,2011-12-05,434,2.44,<dl,4.5,1.9,6.69,1.05,1.17,0.12,2.06
referentiedrain_1,7-12-2011,2011-12-07,436,,,,1.9,6.79,0.292,0.34,0.048,2.14
referentiedrain_1,9-12-2011,2011-12-09,438,4.2,,,2.0,6.22,1.95,2.08,0.13,2.17
referentiedrain_1,19-6-2012,2012-06-19,631,,,,,2.66,0.972,1.07,0.098,1.27
referentiedrain_1,15-11-2012,2012-11-15,780,3.63,<dl,5.6,,6.21,2.39,1.88,,3.1
referentiedrain_1,27-11-2012,2012-11-27,792,,,,,6.43,2.92,3.18,0.26,2.94
referentiedrain_1,13-12-2012,2012-12-13,808,3.31,<dl,4.8,,5.56,2.58,2.62,0.04,2.6
referentiedrain_1,5-2-2013,2013-02-05,862,,,,,4.32,2.01,2.13,0.12,2.15
referentiedrain_1,13-9-2013,2013-09-13,1082,3.18,<dl,4.7,,5.45,4.17,4.46,0.29,4.1
referentiedrain_1,15-10-2013,2013-10-15,1114,,,,,5.6,4.6,4.75,0.15,4.81
referentiedrain_1,6-11-2013,2013-11-06,1136,3.09,<dl,4.9,,5.47,4.61,4.76,0.15,4.78
referentiedrain_1,9-1-2014,2014-01-09,1200,,,,,5.01,3.64,3.65,0.01,3.92
referentiedrain_1,12-2-2014,2014-02-12,1234,3.42,<dl,5.4,,3.55,3.52,3.8,0.28,3.71
referentiedrain_1,14-5-2014,2014-05-14,1325,,,,,4.69,5.21,5.58,0.37,5.59
referentiedrain_1,11-7-2014,2014-07-11,1383,4.43,<dl,6.3,,5.24,5.75,6.28,0.53,6.13
referentiedrain_1,23-10-2014,2014-10-23,1487,,,,,6.93,6.68,6.85,0.17,6.67
referentiedrain_1,19-1-2015,2015-01-19,1575,4.34,<dl,6.2,,5.68,5.19,5.29,0.1,5.48
referentiedrain_1,2-4-2015,2015-04-02,1648,,,,,6.04,4.42,4.54,0.12,4.51
referentiedrain_2,11-11-2010,2010-11-11,45,5.8,8.3,,2.5,9.3,2.9,3.0,0.1,5.7
referentiedrain_2,10-1-2011,2011-01-10,105,,,,1.8,7.1,2.2,2.3,0.1,3.5
referentiedrain_2,13-1-2011,2011-01-13,108,4.7,6.5,,2.0,7.5,3.4,3.5,0.1,4.0
referentiedrain_2,17-1-2011,2011-01-17,112,,,,1.9,7.9,2.7,2.8,0.1,2.7
referentiedrain_2,26-1-2011,2011-01-26,121,4.9,7.1,,1.5,6.3,2.7,3.1,0.4,4.1
referentiedrain_2,4-2-2011,2011-02-04,130,,,,2.0,7.4,2.9,2.8,,3.0
referentiedrain_2,15-2-2011,2011-02-15,141,5.7,7.7,,2.0,7.5,2.7,2.7,0.2,3.0
referentiedrain_2,24-2-2011,2011-02-24,150,,,,1.9,7.1,4.2,4.2,0.2,4.2
referentiedrain_2,1-3-2011,2011-03-01,155,4.3,5.8,,1.7,7.2,3.5,3.7,0.2,3.8
referentiedrain_2,7-10-2011,2011-10-07,375,,,,2.4,9.2,2.6,2.8,0.2,5.0
referentiedrain_2,10-10-2011,2011-10-10,378,5.2,7.2,,2.1,8.5,4.7,4.8,0.1,4.8
referentiedrain_2,11-10-2011,2011-10-11,379,,,,2.0,8.5,2.1,2.3,0.2,4.2
referentiedrain_2,12-10-2011,2011-10-12,380,5.4,7.4,,2.1,8.8,2.4,2.5,0.1,4.3
referentiedrain_2,18-10-2011,2011-10-18,386,,,,2.5,9.0,4.3,4.5,0.1,4.6
referentiedrain_2,5-12-2011,2011-12-05,434,4.9,6.8,,2.5,8.8,4.7,4.8,0.0,6.1
referentiedrain_2,7-12-2011,2011-12-07,436,,,,2.3,9.6,2.0,2.1,0.1,6.9
referentiedrain_2,9-12-2011,2011-12-09,438,5.1,6.8,,2.4,8.8,4.7,4.7,,6.0
referentiedrain_2,19-6-2012,2012-06-19,631,,,,1.67,2.89,1.96,2.06,0.47,2.42
referentiedrain_2,15-11-2012,2012-11-15,780,6.3,8.7,,1.94,7,5.43,4.68,,6.42
referentiedrain_2,27-11-2012,2012-11-27,792,,,,1.81,6.84,4.04,4.51,0.13,4.95
referentiedrain_2,13-12-2012,2012-12-13,808,5.8,7.9,,1.45,5.62,5.22,5.2,0.1,6
referentiedrain_2,5-2-2013,2013-02-05,862,,,,1.08,3.99,4.14,4.27,0.12,4.46
referentiedrain_2,13-9-2013,2013-09-13,1082,5.3,7.3,,1.35,5.26,4.16,4.26,0.13,4.23
referentiedrain_2,15-10-2013,2013-10-15,1114,,,,1.83,7.2,4.82,4.94,0.06,5.17
referentiedrain_2,6-11-2013,2013-11-06,1136,5.8,7.9,,2.02,6.27,4.54,4.67,0.26,4.57
referentiedrain_2,9-1-2014,2014-01-09,1200,,,,1.59,5.35,4.64,4.7,0.18,4.66
