waterlichaam_id,gebiedsnaam,rapportagejaar,N_totaal_oordeel,P_totaal_oordeel
NL12_110,waterdelen Schermerboezem-Noord +,2025,Goed,Ontoereikend
NL12_120,waterdelen Schermerboezem-Zuid +,2025,Goed,Matig
NL12_130,waterdelen Amstelmeerboezem +,2025,Matig,Slecht
NL12_140,waterdelen VRNK-boezem +,2025,Goed,Matig
NL12_201,Alkmaardermeer,2025,Slecht,Slecht
NL12_202,waterrijk 't Twiske,2025,Slecht,Goed
NL12_210,waterrijk Eilandspolder +,2025,Matig,Matig
NL12_220,waterrijk Wormer- en Jisperveld,2025,Matig,Matig
NL12_230,waterdelen polder Zeevang +,2025,Matig,Goed
NL12_240,waterrijk Krommenieer Woudpolder,2025,Matig,Matig
NL12_250,waterrijk polder Westzaan,2025,Goed,Matig
NL12_260,waterrijk Waterland +,2025,Matig,Matig
NL12_280,waterdelen polder Assendelft (NW),2025,Matig,Matig
NL12_311,waterdelen de Schermer-Noord,2025,Matig,Ontoereikend
NL12_312,waterdelen de Schermer-Zuid,2025,Slecht,Slecht
NL12_320,waterdelen Beemster,2025,Matig,Ontoereikend
NL12_330,waterdelen Purmer +,2025,Goed,Matig
NL12_340,waterdelen Wijdewormer,2025,Slecht,Ontoereikend
NL12_401,Geestmerambacht,2025,Ontoereikend,Ontoereikend
NL12_410,waterrijk Heerhugowaard Stad van de Zon,2025,Goed,Goed
NL12_415,waterdelen polder Heerhugowaard,2025,Goed,Slecht
NL12_420,waterrijk polder Oosterdel +,2025,Matig,Slecht
NL12_425,waterdelen polder Geestmerambacht,2025,Goed,Slecht
NL12_430,waterdelen polders Schagerkogge +,2025,Goed,Slecht
NL12_440,"waterdelen polder Vier Noorder Koggen -2,20",2025,Goed,Ontoereikend
NL12_445,"waterdelen polder Vier Noorder Koggen -3,70",2025,Matig,Ontoereikend
NL12_450,waterdelen polder Grootslag +,2025,Goed,Ontoereikend
NL12_460,waterdelen polder Drieban,2025,Goed,Goed
NL12_470,waterdelen Oosterpolder +,2025,Goed,Ontoereikend
NL12_480,waterdelen polder Westerkogge,2025,Matig,Ontoereikend
NL12_490,waterdelen polder Ursem,2025,Matig,Ontoereikend
NL12_501,Amstelmeer,2025,Matig,Ontoereikend
NL12_510,waterdelen Wieringermeer-West +,2025,Ontoereikend,Ontoereikend
NL12_520,waterdelen Wieringermeer-Oost +,2025,Ontoereikend,Matig
NL12_530,waterdelen polder Wieringerwaard,2025,Matig,Ontoereikend
NL12_540,waterdelen Anna Paulownapolder laag,2025,Ontoereikend,Slecht
NL12_550,waterdelen Anna Paulownapolder hoog,2025,Goed,Slecht
NL12_610,waterdelen polder Eijerland +,2025,Slecht,Slecht
NL12_620,waterdelen Waal en Burg en het Noorden +,2025,Ontoereikend,Slecht
NL12_630,waterdelen Gemeenschappelijke polders +,2025,Ontoereikend,Matig
NL12_710,waterdelen Uitgeester- en Heemskerkerbroekpolder +,2025,Goed,Slecht
NL12_720,waterdelen Castricummerpolder +,2025,Goed,Ontoereikend
NL12_730,waterdelen Groot-Limmerpolder +,2025,Goed,Slecht
NL12_740,waterdelen Oosterzijpolder,2025,Goed,Slecht
NL12_750,waterdelen polders Egmondermeer +,2025,Matig,Slecht
NL12_760,waterdelen polders Bergermeer +,2025,Matig,Ontoereikend
NL12_770,waterdelen Verenigde polders +,2025,Goed,Ontoereikend
NL12_810,waterdelen Westerduinen / PWN,2025,Ontoereikend,Goed
NL12_820,waterdelen duingebied Zuid NHN,2025,Goed,Goed
NL12_830,waterdelen duingebied Noord NHN +,2025,Slecht,Slecht
NL12_840,waterdelen duingebied Texel,2025,Slecht,Ontoereikend
