gar_bro_id,well,tube,date,NO3,NO3_uom,NO2,NO2_uom,NH4,NH4_uom,Ntot,Ntot_uom,PO4,PO4_uom,Ptot,Ptot_uom,Cl,Cl_uom,SO4,SO4_uom,HCO3,HCO3_uom,Ca,Ca_uom,Mg,Mg_uom,Na,Na_uom,K,K_uom,Fe,Fe_uom,Mn,Mn_uom
GAR000000019614,GMW000000038604,3,1980-01-21T12:00:00+01:00,0.1,mg/l,,,18,mg/l,,,,,0.4,mg/l,42,mg/l,7,mg/l,737,mg/l,169,mg/l,19,mg/l,49,mg/l,6,mg/l,,,,
GAR000000020012,GMW000000038805,2,1980-02-12T12:00:00+01:00,0.1,mg/l,,,36,mg/l,,,,,5.2,mg/l,670,mg/l,9,mg/l,1060,mg/l,132,mg/l,70,mg/l,510,mg/l,23,mg/l,,,,
GAR000000017956,GMW000000038853,3,1980-02-19T12:00:00+01:00,0.1,mg/l,,,2,mg/l,,,,,0.82,mg/l,35,mg/l,5,mg/l,244,mg/l,24,mg/l,29,mg/l,21,mg/l,26,mg/l,,,,
GAR000000026773,GMW000000038808,2,1980-03-03T12:00:00+01:00,0.1,mg/l,,,2.4,mg/l,,,,,0.03,mg/l,300,mg/l,70,mg/l,83,mg/l,62,mg/l,21,mg/l,120,mg/l,35,mg/l,,,,
GAR000000018831,GMW000000038765,2,1980-03-11T12:00:00+01:00,0.1,mg/l,,,4,mg/l,,,,,0.54,mg/l,45,mg/l,66,mg/l,279,mg/l,110,mg/l,4.6,mg/l,21,mg/l,1,mg/l,,,,
GAR000000021667,GMW000000038587,3,1980-04-17T13:00:00+02:00,0.1,mg/l,,,1.8,mg/l,,,,,0.1,mg/l,75,mg/l,180,mg/l,104,mg/l,58,mg/l,10.2,mg/l,78,mg/l,4,mg/l,,,,
GAR000000024911,GMW000000038645,2,1980-05-08T13:00:00+02:00,0.1,mg/l,,,3.7,mg/l,,,,,0.02,mg/l,220,mg/l,3,mg/l,379,mg/l,174,mg/l,26,mg/l,25,mg/l,4,mg/l,,,,
GAR000000022526,GMW000000038582,1,1980-05-12T13:00:00+02:00,1.2,mg/l,,,0.21,mg/l,,,,,0.01,mg/l,15,mg/l,49,mg/l,1,mg/l,9,mg/l,6,mg/l,6,mg/l,2,mg/l,,,,
GAR000000025825,GMW000000038708,3,1980-06-05T13:00:00+02:00,0.1,mg/l,,,6.6,mg/l,,,,,0.64,mg/l,3100,mg/l,19,mg/l,820,mg/l,170,mg/l,290,mg/l,1400,mg/l,88,mg/l,,,,
GAR000000023827,GMW000000038566,2,1980-06-10T13:00:00+02:00,0.1,mg/l,,,1.3,mg/l,,,,,0.22,mg/l,18,mg/l,9,mg/l,214,mg/l,44,mg/l,10.2,mg/l,12,mg/l,2,mg/l,,,,
GAR000000020612,GMW000000038804,3,1980-07-10T13:00:00+02:00,0.3,mg/l,,,0.5,mg/l,,,,,0.4,mg/l,11,mg/l,8,mg/l,98,mg/l,29,mg/l,4,mg/l,4,mg/l,1,mg/l,,,,
GAR000000003856,GMW000000037748,2,1980-09-09T12:00:00+02:00,0.15,mg/l,0.006,mg/l,0.85,mg/l,,,0.07,mg/l,,,1210,mg/l,85,mg/l,,,255,mg/l,45,mg/l,510,mg/l,13,mg/l,6800,ug/l,,
GAR000000015729,GMW000000038900,3,1980-10-16T12:00:00+01:00,0.3,mg/l,,,0.49,mg/l,,,,,0.38,mg/l,25,mg/l,8,mg/l,212,mg/l,64,mg/l,5,mg/l,10,mg/l,2,mg/l,,,,
GAR000000030323,GMW000000038585,2,1980-12-09T12:00:00+01:00,0.1,mg/l,,,0.7,mg/l,,,,,0.08,mg/l,17,mg/l,29,mg/l,340,mg/l,110,mg/l,10,mg/l,6,mg/l,2,mg/l,,,,
GAR000000016989,GMW000000038526,1,1981-01-15T12:00:00+01:00,0.1,mg/l,,,0.26,mg/l,,,,,0.19,mg/l,48,mg/l,14,mg/l,40,mg/l,7,mg/l,8,mg/l,22,mg/l,2,mg/l,,,,
GAR000000019061,GMW000000038799,1,1981-02-09T12:00:00+01:00,0.1,mg/l,,,8,mg/l,,,,,0.11,mg/l,46,mg/l,58,mg/l,43,mg/l,10,mg/l,4,mg/l,27,mg/l,2,mg/l,,,,
GAR000000040318,GMW000000038749,2,1981-02-18T12:00:00+01:00,0.1,mg/l,,,0.3,mg/l,,,,,1.1,mg/l,9,mg/l,34,mg/l,33,mg/l,16,mg/l,1,mg/l,6,mg/l,1.7,mg/l,,,,
GAR000000032598,GMW000000038910,1,1981-02-20T12:00:00+01:00,90,mg/l,,,2,mg/l,,,,,0.26,mg/l,90,mg/l,89,mg/l,38,mg/l,158,mg/l,19.5,mg/l,48,mg/l,2.9,mg/l,,,,
GAR000000033909,GMW000000038790,3,1981-04-13T13:00:00+02:00,0.1,mg/l,,,4.2,mg/l,,,,,0.76,mg/l,490,mg/l,140,mg/l,709,mg/l,42,mg/l,85,mg/l,330,mg/l,63,mg/l,,,,
GAR000000028561,GMW000000038611,1,1981-05-12T13:00:00+02:00,0.9,mg/l,,,4.8,mg/l,,,,,0.08,mg/l,24,mg/l,48,mg/l,234,mg/l,73,mg/l,14,mg/l,14,mg/l,6,mg/l,,,,
GAR000000021668,GMW000000038587,3,1981-05-18T13:00:00+02:00,0.1,mg/l,,,1.2,mg/l,,,,,0.08,mg/l,73,mg/l,170,mg/l,107,mg/l,58,mg/l,11.3,mg/l,73,mg/l,3,mg/l,,,,
GAR000000027307,GMW000000038808,1,1981-06-15T13:00:00+02:00,0.1,mg/l,,,2.6,mg/l,,,,,0.13,mg/l,440,mg/l,79,mg/l,83,mg/l,130,mg/l,33,mg/l,130,mg/l,45,mg/l,,,,
