STN,DATE,RH_0.1mm,EV24_0.1mm,RH_mm,EV24_mm
260,1980-01-01,58,3,5.8,0.3
260,1980-01-02,6,3,0.6,0.3
260,1980-01-03,13,1,1.3,0.1
260,1980-01-04,91,0,9.1,0.0
260,1980-01-05,42,1,4.2,0.1
260,1980-01-06,62,1,6.2,0.1
260,1980-01-07,3,1,0.3,0.1
260,1980-01-08,8,1,0.8,0.1
260,1980-01-09,-1,1,0.0,0.1
260,1980-01-10,0,1,0.0,0.1
260,1980-01-11,-1,0,0.0,0.0
260,1980-01-12,0,4,0.0,0.4
260,1980-01-13,0,4,0.0,0.4
260,1980-01-14,0,2,0.0,0.2
260,1980-01-15,0,1,0.0,0.1
260,1980-01-16,0,3,0.0,0.3
260,1980-01-17,0,4,0.0,0.4
260,1980-01-18,0,4,0.0,0.4
260,1980-01-19,0,4,0.0,0.4
260,1980-01-20,3,1,0.3,0.1
260,1980-01-21,56,2,5.6,0.2
260,1980-01-22,9,1,0.9,0.1
260,1980-01-23,10,2,1.0,0.2
260,1980-01-24,3,2,0.3,0.2
260,1980-01-25,20,2,2.0,0.2
260,1980-01-26,7,4,0.7,0.4
260,1980-01-27,5,5,0.5,0.5
260,1980-01-28,34,1,3.4,0.1
260,1980-01-29,1,2,0.1,0.2
260,1980-01-30,6,3,0.6,0.3
260,1980-01-31,239,4,23.9,0.4
260,1980-02-01,5,6,0.5,0.6
260,1980-02-02,109,1,10.9,0.1
260,1980-02-03,94,1,9.4,0.1
260,1980-02-04,53,3,5.3,0.3
260,1980-02-05,157,1,15.7,0.1
260,1980-02-06,47,1,4.7,0.1
260,1980-02-07,12,2,1.2,0.2
260,1980-02-08,5,3,0.5,0.3
260,1980-02-09,-1,7,0.0,0.7
260,1980-02-10,4,4,0.4,0.4
260,1980-02-11,4,3,0.4,0.3
260,1980-02-12,2,2,0.2,0.2
260,1980-02-13,0,5,0.0,0.5
260,1980-02-14,2,5,0.2,0.5
260,1980-02-15,33,3,3.3,0.3
260,1980-02-16,-1,4,0.0,0.4
260,1980-02-17,0,6,0.0,0.6
260,1980-02-18,0,8,0.0,0.8
260,1980-02-19,0,11,0.0,1.1
260,1980-02-20,0,11,0.0,1.1
260,1980-02-21,0,12,0.0,1.2
260,1980-02-22,0,12,0.0,1.2
260,1980-02-23,18,2,1.8,0.2
260,1980-02-24,0,9,0.0,0.9
260,1980-02-25,-1,6,0.0,0.6
260,1980-02-26,-1,3,0.0,0.3
260,1980-02-27,0,3,0.0,0.3
260,1980-02-28,0,3,0.0,0.3
260,1980-02-29,0,4,0.0,0.4
260,1980-03-01,-1,11,0.0,1.1
260,1980-03-02,1,4,0.1,0.4
260,1980-03-03,7,9,0.7,0.9
260,1980-03-04,4,3,0.4,0.3
260,1980-03-05,0,11,0.0,1.1
260,1980-03-06,73,2,7.3,0.2
260,1980-03-07,91,3,9.1,0.3
260,1980-03-08,26,6,2.6,0.6
260,1980-03-09,-1,5,0.0,0.5
260,1980-03-10,28,8,2.8,0.8
260,1980-03-11,4,3,0.4,0.3
260,1980-03-12,160,2,16.0,0.2
260,1980-03-13,122,6,12.2,0.6
260,1980-03-14,5,6,0.5,0.6
260,1980-03-15,0,3,0.0,0.3
260,1980-03-16,0,4,0.0,0.4
260,1980-03-17,-1,8,0.0,0.8
260,1980-03-18,0,11,0.0,1.1
260,1980-03-19,-1,6,0.0,0.6
260,1980-03-20,0,16,0.0,1.6
260,1980-03-21,1,9,0.1,0.9
260,1980-03-22,5,7,0.5,0.7
260,1980-03-23,0,11,0.0,1.1
260,1980-03-24,0,18,0.0,1.8
260,1980-03-25,13,16,1.3,1.6
260,1980-03-26,-1,12,0.0,1.2
260,1980-03-27,77,6,7.7,0.6
260,1980-03-28,21,6,2.1,0.6
260,1980-03-29,70,3,7.0,0.3
260,1980-03-30,0,13,0.0,1.3
260,1980-03-31,28,15,2.8,1.5
260,1980-04-01,263,6,26.3,0.6
260,1980-04-02,50,14,5.0,1.4
260,1980-04-03,11,11,1.1,1.1
260,1980-04-04,-1,16,0.0,1.6
260,1980-04-05,-1,23,0.0,2.3
260,1980-04-06,0,19,0.0,1.9
260,1980-04-07,1,7,0.1,0.7
260,1980-04-08,18,9,1.8,0.9
260,1980-04-09,4,13,0.4,1.3
260,1980-04-10,1,16,0.1,1.6
260,1980-04-11,0,17,0.0,1.7
260,1980-04-12,0,30,0.0,3.0
260,1980-04-13,0,32,0.0,3.2
260,1980-04-14,0,32,0.0,3.2
260,1980-04-15,0,32,0.0,3.2
260,1980-04-16,0,31,0.0,3.1
260,1980-04-17,0,28,0.0,2.8
260,1980-04-18,15,5,1.5,0.5
260,1980-04-19,24,15,2.4,1.5
260,1980-04-20,59,17,5.9,1.7
260,1980-04-21,12,17,1.2,1.7
260,1980-04-22,0,10,0.0,1.0
260,1980-04-23,-1,23,0.0,2.3
260,1980-04-24,1,19,0.1,1.9
260,1980-04-25,15,4,1.5,0.4
260,1980-04-26,37,10,3.7,1.0
260,1980-04-27,8,24,0.8,2.4
260,1980-04-28,-1,4,0.0,0.4
260,1980-04-29,17,9,1.7,0.9
260,1980-04-30,0,30,0.0,3.0
260,1980-05-01,0,31,0.0,3.1
260,1980-05-02,0,34,0.0,3.4
260,1980-05-03,0,32,0.0,3.2
260,1980-05-04,0,34,0.0,3.4
260,1980-05-05,0,35,0.0,3.5
260,1980-05-06,6,22,0.6,2.2
260,1980-05-07,-1,16,0.0,1.6
260,1980-05-08,-1,9,0.0,0.9
260,1980-05-09,0,33,0.0,3.3
260,1980-05-10,0,40,0.0,4.0
260,1980-05-11,0,43,0.0,4.3
260,1980-05-12,0,44,0.0,4.4
260,1980-05-13,0,43,0.0,4.3
260,1980-05-14,0,44,0.0,4.4
260,1980-05-15,0,41,0.0,4.1
260,1980-05-16,0,34,0.0,3.4
260,1980-05-17,0,33,0.0,3.3
260,1980-05-18,-1,36,0.0,3.6
260,1980-05-19,0,44,0.0,4.4
260,1980-05-20,-1,30,0.0,3.0
260,1980-05-21,0,40,0.0,4.0
260,1980-05-22,0,39,0.0,3.9
260,1980-05-23,-1,21,0.0,2.1
260,1980-05-24,3,12,0.3,1.2
260,1980-05-25,3,18,0.3,1.8
260,1980-05-26,0,33,0.0,3.3
260,1980-05-27,0,19,0.0,1.9
260,1980-05-28,15,23,1.5,2.3
260,1980-05-29,17,15,1.7,1.5
260,1980-05-30,-1,35,0.0,3.5
260,1980-05-31,84,18,8.4,1.8
260,1980-06-01,12,28,1.2,2.8
260,1980-06-02,0,43,0.0,4.3
260,1980-06-03,16,11,1.6,1.1
260,1980-06-04,0,29,0.0,2.9
260,1980-06-05,0,47,0.0,4.7
260,1980-06-06,0,41,0.0,4.1
260,1980-06-07,10,28,1.0,2.8
260,1980-06-08,0,31,0.0,3.1
260,1980-06-09,0,32,0.0,3.2
260,1980-06-10,3,20,0.3,2.0
260,1980-06-11,10,29,1.0,2.9
260,1980-06-12,0,43,0.0,4.3
260,1980-06-13,-1,41,0.0,4.1
260,1980-06-14,8,30,0.8,3.0
260,1980-06-15,47,29,4.7,2.9
260,1980-06-16,28,12,2.8,1.2
260,1980-06-17,82,17,8.2,1.7
260,1980-06-18,4,25,0.4,2.5
260,1980-06-19,32,9,3.2,0.9
260,1980-06-20,136,18,13.6,1.8
260,1980-06-21,29,24,2.9,2.4
260,1980-06-22,213,20,21.3,2.0
260,1980-06-23,38,21,3.8,2.1
260,1980-06-24,41,18,4.1,1.8
260,1980-06-25,31,33,3.1,3.3
260,1980-06-26,70,23,7.0,2.3
260,1980-06-27,11,27,1.1,2.7
260,1980-06-28,58,12,5.8,1.2
260,1980-06-29,33,26,3.3,2.6
260,1980-06-30,12,29,1.2,2.9
260,1980-07-01,145,18,14.5,1.8
260,1980-07-02,50,21,5.0,2.1
260,1980-07-03,-1,18,0.0,1.8
260,1980-07-04,7,15,0.7,1.5
260,1980-07-05,6,23,0.6,2.3
260,1980-07-06,106,34,10.6,3.4
260,1980-07-07,210,14,21.0,1.4
260,1980-07-08,38,11,3.8,1.1
260,1980-07-09,146,12,14.6,1.2
260,1980-07-10,106,13,10.6,1.3
260,1980-07-11,2,12,0.2,1.2
260,1980-07-12,62,22,6.2,2.2
260,1980-07-13,136,23,13.6,2.3
260,1980-07-14,178,12,17.8,1.2
260,1980-07-15,0,33,0.0,3.3
260,1980-07-16,8,20,0.8,2.0
260,1980-07-17,1,20,0.1,2.0
260,1980-07-18,37,16,3.7,1.6
260,1980-07-19,100,6,10.0,0.6
260,1980-07-20,85,7,8.5,0.7
260,1980-07-21,28,9,2.8,0.9
260,1980-07-22,0,35,0.0,3.5
260,1980-07-23,0,44,0.0,4.4
260,1980-07-24,0,36,0.0,3.6
260,1980-07-25,0,43,0.0,4.3
260,1980-07-26,2,42,0.2,4.2
