jaar;watertype;seizoen;bedrijfstype;hoofdgrondsoortregio;jaartot_gem;std;component;symbool;eenheid;p10;p25;p50;p75;p90;perc_dg;aantal_bedrijven;volgnummer_c;volgnummer_h;mark_ab;component_naam;mark_dg;dg;aantal_bedrijfstype;in_tabel;in_trendgrafiek;in_jaargrafiek;versie;meetnet
2003;slootwater;winter;akkerbouw;klei;14;29;Aluminium;(Al);µg/l;0;0;0;1.9;74;0;13;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2004;slootwater;winter;akkerbouw;klei;4.2;8.9;Aluminium;(Al);µg/l;0;0;0;2.1;22;0;12;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2005;slootwater;winter;akkerbouw;klei;13;25;Aluminium;(Al);µg/l;0;0;2;11;44;0;29;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2006;slootwater;winter;akkerbouw;klei;10;25;Aluminium;(Al);µg/l;0;0;1.4;7.5;19;0;29;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2007;slootwater;winter;akkerbouw;klei;13;25;Aluminium;(Al);µg/l;0;2.3;5;8.3;18;0;25;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2008;slootwater;winter;akkerbouw;klei;9;26;Aluminium;(Al);µg/l;0;0;0;4.4;9.7;0;24;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2009;slootwater;winter;akkerbouw;klei;9.1;26;Aluminium;(Al);µg/l;0;0;2.5;3.8;8.7;0;29;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2010;slootwater;winter;akkerbouw;klei;8;32;Aluminium;(Al);µg/l;0;0;0;2.6;7.2;0;29;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2011;slootwater;winter;akkerbouw;klei;4.9;21;Aluminium;(Al);µg/l;0;0;0;1;2.7;3.4;29;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2012;slootwater;winter;akkerbouw;klei;5.9;22;Aluminium;(Al);µg/l;0;0;0;1.9;6.4;0;32;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2013;slootwater;winter;akkerbouw;klei;9.8;45;Aluminium;(Al);µg/l;0;0;0;0.38;4.7;0;32;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2014;slootwater;winter;akkerbouw;klei;6.9;31;Aluminium;(Al);µg/l;0;0;0;0;2.1;0;31;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2015;slootwater;winter;akkerbouw;klei;5.7;19;Aluminium;(Al);µg/l;0;0;0;0;7.4;0;30;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2016;slootwater;winter;akkerbouw;klei;5.1;16;Aluminium;(Al);µg/l;0;0;0;0;7.3;0;30;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2017;slootwater;winter;akkerbouw;klei;5.1;15;Aluminium;(Al);µg/l;0;0;0;0;6.8;0;30;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2018;slootwater;winter;akkerbouw;klei;6.1;14;Aluminium;(Al);µg/l;0.41;0.84;1.6;2.3;17;6.9;29;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2019;slootwater;winter;akkerbouw;klei;14;33;Aluminium;(Al);µg/l;0.36;0.93;2.2;6.5;33;6.2;32;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2020;slootwater;winter;akkerbouw;klei;15;57;Aluminium;(Al);µg/l;0.94;1.3;2.3;3.6;10;3.2;31;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
2021;slootwater;winter;akkerbouw;klei;20;70;Aluminium;(Al);µg/l;-3.48;0.08;0.98;8.5;35;23;31;75;5;;Aluminium (Al);;0;3;1;1;1;17-okt-25;basismeetnet
