locationId,parameter,date,value_mgL,units
NL02_0079,Ntot,1990-01-08,7.31,mg/l
NL02_0079,Ntot,1990-02-07,11.5,mg/l
NL02_0079,Ntot,1990-03-07,7.9,mg/l
NL02_0079,Ntot,1990-04-11,5.16,mg/l
NL02_0079,Ntot,1990-05-10,3.55,mg/l
NL02_0079,Ntot,1990-06-08,3.32,mg/l
NL02_0079,Ntot,1990-07-25,3.05,mg/l
NL02_0079,Ntot,1990-08-08,2.31,mg/l
NL02_0079,Ntot,1990-09-19,3.74,mg/l
NL02_0079,Ntot,1990-10-10,5.26,mg/l
NL02_0079,Ntot,1990-11-13,5.88,mg/l
NL02_0079,Ntot,1990-12-10,10.69,mg/l
NL02_0079,Ntot,1991-01-09,13,mg/l
NL02_0079,Ntot,1991-02-11,31.44,mg/l
NL02_0079,Ntot,1991-03-06,7.45,mg/l
NL02_0079,Ntot,1991-04-08,5.89,mg/l
NL02_0079,Ntot,1991-05-07,4.26,mg/l
NL02_0079,Ntot,1991-06-19,3.3,mg/l
NL02_0079,Ntot,1991-07-10,6.06,mg/l
NL02_0079,Ntot,1991-08-13,3.79,mg/l
NL02_0079,Ntot,1991-09-05,2.89,mg/l
NL02_0079,Ntot,1991-10-08,5.12,mg/l
NL02_0079,Ntot,1991-11-06,4.99,mg/l
NL02_0079,Ntot,1991-12-11,7.49,mg/l
NL02_0079,Ntot,1992-01-21,7.97,mg/l
NL02_0079,Ntot,1992-02-12,6.85,mg/l
NL02_0079,Ntot,1992-03-11,7.4,mg/l
NL02_0079,Ntot,1992-04-09,11.05,mg/l
NL02_0079,Ntot,1992-05-13,6.4,mg/l
NL02_0079,Ntot,1992-06-11,4.08,mg/l
NL02_0079,Ntot,1992-07-09,11.87,mg/l
NL02_0079,Ntot,1992-08-12,4.22,mg/l
NL02_0079,Ntot,1992-09-16,3.98,mg/l
NL02_0079,Ntot,1992-10-13,4.97,mg/l
NL02_0079,Ntot,1992-11-17,12.3,mg/l
NL02_0079,Ntot,1992-12-09,12.8,mg/l
NL02_0079,Ntot,1993-01-14,13.28,mg/l
NL02_0079,Ntot,1993-02-16,9.08,mg/l
NL02_0079,Ntot,1993-03-10,10.93,mg/l
NL02_0079,Ntot,1993-04-15,5.84,mg/l
NL02_0079,Ntot,1993-05-12,3.84,mg/l
NL02_0079,Ntot,1993-06-10,3.59,mg/l
NL02_0079,Ntot,1993-07-15,3.67,mg/l
NL02_0079,Ntot,1993-08-17,3.3,mg/l
