jaar;watertype;seizoen;bedrijfstype;hoofdgrondsoortregio;jaartot_gem;std;component;symbool;eenheid;p10;p25;p50;p75;p90;perc_dg;aantal_bedrijven;volgnummer_c;volgnummer_h;mark_ab;component_naam;mark_dg;dg;aantal_bedrijfstype;in_tabel;in_trendgrafiek;in_jaargrafiek;versie;meetnet
2003;slootwater;winter;akkerbouw;klei;21;8.9;Nitraat;(NO3);mg/l;12;14;18;30;34;0;16;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2004;slootwater;winter;akkerbouw;klei;45;30;Nitraat;(NO3);mg/l;6;21;43;62;75;0;36;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2005;slootwater;winter;akkerbouw;klei;35;25;Nitraat;(NO3);mg/l;7.3;18;28;51;69;3.4;29;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2006;slootwater;winter;akkerbouw;klei;34;19;Nitraat;(NO3);mg/l;15;23;28;41;60;0;29;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2007;slootwater;winter;akkerbouw;klei;41;27;Nitraat;(NO3);mg/l;9.1;21;37;70;85;0;25;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2008;slootwater;winter;akkerbouw;klei;33;25;Nitraat;(NO3);mg/l;5.8;17;23;49;76;0;24;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2009;slootwater;winter;akkerbouw;klei;23;17;Nitraat;(NO3);mg/l;3.1;10;18;32;46;0;29;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2010;slootwater;winter;akkerbouw;klei;24;15;Nitraat;(NO3);mg/l;6.5;11;25;31;41;0;29;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2011;slootwater;winter;akkerbouw;klei;14;7.3;Nitraat;(NO3);mg/l;4.7;9.1;15;18;23;0;29;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2012;slootwater;winter;akkerbouw;klei;19;13;Nitraat;(NO3);mg/l;2.6;7.6;22;29;37;0;32;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2013;slootwater;winter;akkerbouw;klei;19;15;Nitraat;(NO3);mg/l;3.7;6.5;14;30;38;0;32;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2014;slootwater;winter;akkerbouw;klei;24;25;Nitraat;(NO3);mg/l;4.2;8;17;27;43;0;31;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2015;slootwater;winter;akkerbouw;klei;24;16;Nitraat;(NO3);mg/l;6.2;10;21;34;47;0;30;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2016;slootwater;winter;akkerbouw;klei;22;13;Nitraat;(NO3);mg/l;5.8;7.9;22;34;41;0;30;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2017;slootwater;winter;akkerbouw;klei;24;18;Nitraat;(NO3);mg/l;6.7;10;19;33;48;0;30;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
2018;slootwater;winter;akkerbouw;klei;24;15;Nitraat;(NO3);mg/l;8.3;12;21;37;43;0;29;5;5;;Nitraat (NO3);;0.13;3;1;1;1;17-okt-25;basismeetnet
