tmv_locatie,ronde,periode_bemonstering,lab_no3n_mgNl,lab_no3_mgl,lab_no3_below_detection,lab_ph,lab_ec_uScm,field_no3n_min_mgNl,field_no3n_mean_mgNl,field_no3n_max_mgNl
1,5,2009-2011,10.724,47.477,0,3.7,369.0,1.4,13.3,41.9
3,5,2009-2011,0.775,3.431,0,4.5,83.0,1.1,2.3,4.1
4,5,2009-2011,7.499,33.199,0,4.1,262.0,1.2,8.6,21.4
5,5,2009-2011,4.43,19.612,0,4.2,166.0,1.8,6.0,13.5
6,5,2009-2011,6.142,27.192,0,4.1,148.0,1.0,7.5,17.3
8,5,2009-2011,5.374,23.792,0,4.1,127.0,1.0,7.0,15.0
9,5,2009-2011,2.911,12.887,0,4.3,106.0,1.0,4.1,8.1
10,5,2009-2011,3.577,15.836,0,4.2,126.0,1.0,4.3,9.1
11,5,2009-2011,5.654,25.031,0,4.2,160.0,2.0,8.4,20.3
12,5,2009-2011,2.951,13.065,0,5.0,116.0,1.0,3.5,11.3
13,5,2009-2011,3.247,14.375,0,4.1,162.0,1.0,4.4,19.6
22,5,2009-2011,4.828,21.374,0,1.7,7157.0,1.0,5.5,18.3
24,5,2009-2011,0.07,0.31,1,4.8,170.0,2.7,1.3,1.3
26,5,2009-2011,1.454,6.437,0,4.8,146.0,4.8,3.0,5.3
27,5,2009-2011,1.696,7.508,0,4.4,97.0,1.3,3.3,14.0
29,5,2009-2011,0.869,3.847,0,5.6,638.0,2.0,2.1,7.9
31,5,2009-2011,0.192,0.85,0,4.3,110.0,4.6,1.7,3.1
39,5,2009-2011,3.27,14.477,0,4.2,184.0,1.6,5.0,8.9
40,5,2009-2011,0.684,3.028,0,5.1,83.0,1.0,1.7,2.2
42,5,2009-2011,2.823,12.498,0,4.4,138.0,1.1,3.8,14.7
43,5,2009-2011,6.155,27.249,0,4.2,194.0,1.2,6.7,12.3
45,5,2009-2011,0.07,0.31,1,1.8,6933.0,1.3,1.1,1.4
47,5,2009-2011,2.36,10.448,0,4.2,141.0,1.4,3.1,10.5
48,5,2009-2011,1.567,6.937,0,6.9,889.0,2.1,2.4,12.6
49,5,2009-2011,0.233,1.032,0,6.5,488.0,0.9,1.1,2.3
50,5,2009-2011,5.304,23.482,0,6.3,868.0,1.0,5.1,33.7
55,5,2009-2011,2.405,10.647,0,4.2,202.0,1.3,3.1,12.4
57,5,2009-2011,0.883,3.909,0,4.5,51.0,1.1,1.7,3.1
58,5,2009-2011,0.698,3.09,0,5.2,137.0,1.2,3.2,6.1
60,5,2009-2011,0.239,1.058,0,4.3,267.0,1.3,1.5,3.5
61,5,2009-2011,0.37,1.638,0,4.6,78.0,1.4,1.4,4.1
62,5,2009-2011,0.822,3.639,0,4.3,111.0,1.0,1.5,2.4
64,5,2009-2011,4.929,21.822,0,4.4,164.0,1.1,6.3,25.9
66,5,2009-2011,3.778,16.726,0,5.3,141.0,1.1,4.6,14.7
71,5,2009-2011,10.322,45.697,0,4.2,347.0,1.4,11.0,31.1
72,5,2009-2011,1.818,8.049,0,4.5,95.0,1.9,2.8,5.0
74,5,2009-2011,2.626,11.626,0,4.7,104.0,0.9,2.9,12.0
75,5,2009-2011,6.804,30.122,0,4.1,213.0,1.4,8.4,21.6
76,5,2009-2011,4.728,20.932,0,4.1,133.0,2.3,6.1,21.6
79,5,2009-2011,2.547,11.276,0,4.2,202.0,1.3,2.9,7.4
82,5,2009-2011,4.731,20.945,0,4.2,201.0,1.9,5.0,17.2
92,5,2009-2011,0.084,0.372,0,5.2,100.0,3.0,1.7,2.0
93,5,2009-2011,6.533,28.923,0,3.8,228.0,3.3,6.9,34.6
103,5,2009-2011,1.095,4.848,0,5.3,104.0,2.6,1.8,4.3
106,5,2009-2011,2.132,9.439,0,4.2,146.0,1.7,2.6,7.5
116,5,2009-2011,4.035,17.864,0,4.1,139.0,2.5,5.2,15.3
118,5,2009-2011,0.323,1.43,0,4.3,201.0,1.8,1.8,3.0
119,5,2009-2011,1.249,5.53,0,4.4,96.0,2.6,2.6,5.1
120,5,2009-2011,1.03,4.56,0,4.4,121.0,1.2,2.0,4.5
121,5,2009-2011,3.545,15.694,0,4.2,132.0,1.2,3.7,12.9
126,5,2009-2011,8.445,37.387,0,4.1,173.0,1.3,8.4,15.0
127,5,2009-2011,4.53,20.055,0,4.2,136.0,1.2,6.3,34.3
129,5,2009-2011,1.269,5.618,0,5.6,162.0,1.1,2.1,3.9
130,5,2009-2011,0.07,0.31,1,4.4,215.0,1.1,1.4,1.8
131,5,2009-2011,1.764,7.81,0,4.6,51.0,1.2,3.6,12.1
133,5,2009-2011,7.289,32.27,0,6.0,291.0,3.6,7.6,29.2
134,5,2009-2011,6.98,30.902,0,7.3,663.0,3.1,8.6,20.8
135,5,2009-2011,4.769,21.113,0,6.4,477.0,1.1,5.6,17.0
138,5,2009-2011,0.07,0.31,1,6.1,744.0,2.7,1.5,2.0
139,5,2009-2011,0.612,2.709,0,5.1,474.0,1.1,1.8,3.4
140,5,2009-2011,8.043,35.608,0,6.3,452.0,1.2,8.9,15.8
141,5,2009-2011,8.129,35.988,0,4.4,155.0,2.3,8.9,11.4
142,5,2009-2011,9.525,42.169,0,6.5,368.0,2.2,10.5,36.7
144,5,2009-2011,5.855,25.921,0,4.1,198.0,2.4,6.9,10.3
145,5,2009-2011,4.252,18.824,0,4.4,139.0,1.5,4.9,13.5
146,5,2009-2011,3.554,15.734,0,4.0,126.0,1.6,3.9,8.8
148,5,2009-2011,4.548,20.135,0,4.2,101.0,2.4,6.6,12.9
150,5,2009-2011,14.784,65.451,0,4.0,317.0,1.3,16.4,30.8
151,5,2009-2011,2.256,9.988,0,4.8,73.0,1.3,3.1,8.5
153,5,2009-2011,1.881,8.328,0,1.9,4598.0,1.5,3.0,4.7
155,5,2009-2011,6.386,28.272,0,4.1,326.0,3.4,7.6,36.7
156,5,2009-2011,0.51,2.258,0,4.4,62.0,1.9,1.7,2.8
157,5,2009-2011,8.718,38.596,0,4.0,181.0,1.3,10.0,24.2
158,5,2009-2011,4.18,18.506,0,4.1,184.0,1.7,5.8,13.0
159,5,2009-2011,9.089,40.239,0,5.2,420.0,2.1,11.2,21.9
160,5,2009-2011,15.633,69.21,0,4.0,333.0,1.2,15.4,31.0
161,5,2009-2011,0.099,0.438,0,6.0,229.0,1.0,1.6,2.3
162,5,2009-2011,1.28,5.667,0,6.4,594.0,1.0,2.2,10.5
163,5,2009-2011,2.348,10.395,0,4.2,222.0,1.0,2.6,6.7
