FID,Rapportagejaar,WaterlichaamCode,KRWkwaliteitselementCode,KRWkwaliteitselementOmschrijving,Classificatie,naam,lengteKM,oppervlakteKM2,stroomgebieddistrictNaam,oppervlaktewaterCategorie,oppervlaktewaterWatertypeCode,oppervlaktewaterWatertypeOmschrijving,waterbeheerderCode,waterbeheerderNaam
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33DA.Ntot,2020,NL33DA,Ntot,Stikstof totaal,Goed,Drentsche Aa,112.61,,Eems,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33DA.Ptot,2020,NL33DA,Ptot,Fosfor totaal,Goed,Drentsche Aa,112.61,,Eems,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33DA.Nanorg,2020,NL33DA,Nanorg,DIN,Niet van toepassing,Drentsche Aa,112.61,,Eems,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33DW_2.Ptot,2020,NL33DW_2,Ptot,Fosfor totaal,Goed,Kanalen Duurswold,0,0.17,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33DW_2.Ntot,2020,NL33DW_2,Ntot,Stikstof totaal,Matig,Kanalen Duurswold,0,0.17,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33DW_2.Nanorg,2020,NL33DW_2,Nanorg,DIN,Niet van toepassing,Kanalen Duurswold,0,0.17,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33EW_2.Ntot,2020,NL33EW_2,Ntot,Stikstof totaal,Goed,Eemskanaal / Winschoterdiep,0,0.41,Eems,Meer,M7b,Grote diepe kanalen met scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33EW_2.Ptot,2020,NL33EW_2,Ptot,Fosfor totaal,Goed,Eemskanaal / Winschoterdiep,0,0.41,Eems,Meer,M7b,Grote diepe kanalen met scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33EW_2.Nanorg,2020,NL33EW_2,Nanorg,DIN,Niet van toepassing,Eemskanaal / Winschoterdiep,0,0.41,Eems,Meer,M7b,Grote diepe kanalen met scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33FI_2.Nanorg,2020,NL33FI_2,Nanorg,DIN,Niet van toepassing,Kanaal Fiemel,0,0.05,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33FI_2.Ntot,2020,NL33FI_2,Ntot,Stikstof totaal,Goed,Kanaal Fiemel,0,0.05,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33FI_2.Ptot,2020,NL33FI_2,Ptot,Fosfor totaal,Goed,Kanaal Fiemel,0,0.05,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33HM.Nanorg,2020,NL33HM,Nanorg,DIN,Niet van toepassing,Hondshalstermeer,0,1.53,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33HM.Ptot,2020,NL33HM,Ptot,Fosfor totaal,Goed,Hondshalstermeer,0,1.53,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33HM.Ntot,2020,NL33HM,Ntot,Stikstof totaal,Ontoereikend,Hondshalstermeer,0,1.53,Eems,Meer,M14,Grote ondiepe gebufferde plassen,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33HU.Ptot,2020,NL33HU,Ptot,Fosfor totaal,Matig,Hunze,74.91,,Eems,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33HU.Nanorg,2020,NL33HU,Nanorg,DIN,Niet van toepassing,Hunze,74.91,,Eems,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33HU.Ntot,2020,NL33HU,Ntot,Stikstof totaal,Goed,Hunze,74.91,,Eems,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33HV_2.Ntot,2020,NL33HV_2,Ntot,Stikstof totaal,Goed,Kanalen Hunze / Veenkoloniën,0,0.65,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33HV_2.Nanorg,2020,NL33HV_2,Nanorg,DIN,Niet van toepassing,Kanalen Hunze / Veenkoloniën,0,0.65,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33HV_2.Ptot,2020,NL33HV_2,Ptot,Fosfor totaal,Goed,Kanalen Hunze / Veenkoloniën,0,0.65,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_16.Ntot,2020,NL25_16,Ntot,Stikstof totaal,Matig,Mark en Vliet,77.04,,Maas,Rivier,R6,Langzaam stromend riviertje op zand/klei,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_16.Nanorg,2020,NL25_16,Nanorg,DIN,Niet van toepassing,Mark en Vliet,77.04,,Maas,Rivier,R6,Langzaam stromend riviertje op zand/klei,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_16.Ptot,2020,NL25_16,Ptot,Fosfor totaal,Matig,Mark en Vliet,77.04,,Maas,Rivier,R6,Langzaam stromend riviertje op zand/klei,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_18.Ptot,2020,NL25_18,Ptot,Fosfor totaal,Goed,Roode Vaart,,0.04926,Maas,Meer,M6b,Grote ondiepe kanalen met scheepvaart,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_18.Nanorg,2020,NL25_18,Nanorg,DIN,Niet van toepassing,Roode Vaart,,0.04926,Maas,Meer,M6b,Grote ondiepe kanalen met scheepvaart,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_18.Ntot,2020,NL25_18,Ntot,Stikstof totaal,Goed,Roode Vaart,,0.04926,Maas,Meer,M6b,Grote ondiepe kanalen met scheepvaart,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_22.Ntot,2020,NL25_22,Ntot,Stikstof totaal,Goed,Dongekanalen,,0.21986,Maas,Meer,M3,Gebufferde (regionale) kanalen,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_22.Ptot,2020,NL25_22,Ptot,Fosfor totaal,Goed,Dongekanalen,,0.21986,Maas,Meer,M3,Gebufferde (regionale) kanalen,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_22.Nanorg,2020,NL25_22,Nanorg,DIN,Niet van toepassing,Dongekanalen,,0.21986,Maas,Meer,M3,Gebufferde (regionale) kanalen,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_30.Ptot,2020,NL25_30,Ptot,Fosfor totaal,Matig,Tonnekreek complex,,0.08686,Maas,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_30.Nanorg,2020,NL25_30,Nanorg,DIN,Niet van toepassing,Tonnekreek complex,,0.08686,Maas,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_30.Ntot,2020,NL25_30,Ntot,Stikstof totaal,Goed,Tonnekreek complex,,0.08686,Maas,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_34.Ptot,2020,NL25_34,Ptot,Fosfor totaal,Matig,Aa of Weerijs,21.85,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_34.Ntot,2020,NL25_34,Ntot,Stikstof totaal,Matig,Aa of Weerijs,21.85,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_34.Nanorg,2020,NL25_34,Nanorg,DIN,Niet van toepassing,Aa of Weerijs,21.85,,Maas,Rivier,R5,Langzaam stromende middenloop/benedenloop op zand,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_35.Ntot,2020,NL25_35,Ntot,Stikstof totaal,Matig,Donge,29.87,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_35.Nanorg,2020,NL25_35,Nanorg,DIN,Niet van toepassing,Donge,29.87,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_35.Ptot,2020,NL25_35,Ptot,Fosfor totaal,Ontoereikend,Donge,29.87,,Maas,Rivier,R4a,Permanente langzaam stromende laagland bovenloop op zand,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_47.Ntot,2020,NL25_47,Ntot,Stikstof totaal,Ontoereikend,Molenkreek complex,,0.14,Maas,Meer,M30,Zwak brakke wateren,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_47.Nanorg,2020,NL25_47,Nanorg,DIN,Niet van toepassing,Molenkreek complex,,0.14,Maas,Meer,M30,Zwak brakke wateren,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_47.Ptot,2020,NL25_47,Ptot,Fosfor totaal,Ontoereikend,Molenkreek complex,,0.14,Maas,Meer,M30,Zwak brakke wateren,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_48.Ntot,2020,NL25_48,Ntot,Stikstof totaal,Ontoereikend,Cruijslandse Kreken,,0.28603,Maas,Meer,M3,Gebufferde (regionale) kanalen,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_48.Ptot,2020,NL25_48,Ptot,Fosfor totaal,Goed,Cruijslandse Kreken,,0.28603,Maas,Meer,M3,Gebufferde (regionale) kanalen,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_48.Nanorg,2020,NL25_48,Nanorg,DIN,Niet van toepassing,Cruijslandse Kreken,,0.28603,Maas,Meer,M3,Gebufferde (regionale) kanalen,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_49.Ntot,2020,NL25_49,Ntot,Stikstof totaal,Goed,Oude Maasje,8.45,,Maas,Rivier,R8,Zoet getijdenwater (uitlopers rivier) op zand/klei,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_49.Ptot,2020,NL25_49,Ptot,Fosfor totaal,Goed,Oude Maasje,8.45,,Maas,Rivier,R8,Zoet getijdenwater (uitlopers rivier) op zand/klei,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL25_49.Nanorg,2020,NL25_49,Nanorg,DIN,Niet van toepassing,Oude Maasje,8.45,,Maas,Rivier,R8,Zoet getijdenwater (uitlopers rivier) op zand/klei,25,Waterschap Brabantse Delta
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33KW_2.Nanorg,2020,NL33KW_2,Nanorg,DIN,Niet van toepassing,Kanalen Westerwolde,0,0.32,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33KW_2.Ptot,2020,NL33KW_2,Ptot,Fosfor totaal,Goed,Kanalen Westerwolde,0,0.32,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33KW_2.Ntot,2020,NL33KW_2,Ntot,Stikstof totaal,Goed,Kanalen Westerwolde,0,0.32,Eems,Meer,M6a,Grote ondiepe kanalen zonder scheepvaart,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33MP.Ntot,2020,NL33MP,Ntot,Stikstof totaal,Goed,Mussel Aa / Pagediep,24.49,,Eems,Rivier,R12,Langzaam stromende middenloop/benedenloop op veenbodem,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33MP.Nanorg,2020,NL33MP,Nanorg,DIN,Niet van toepassing,Mussel Aa / Pagediep,24.49,,Eems,Rivier,R12,Langzaam stromende middenloop/benedenloop op veenbodem,33,Waterschap Hunze en Aa’s
KRWoppervlaktewaterlichamen_toestand_ecologie.NL33MP.Ptot,2020,NL33MP,Ptot,Fosfor totaal,Goed,Mussel Aa / Pagediep,24.49,,Eems,Rivier,R12,Langzaam stromende middenloop/benedenloop op veenbodem,33,Waterschap Hunze en Aa’s
