code,waterboard,year,n_installations,capacity_ie_x1000,influent_volume_1000m3,N_influent_ton,P_influent_ton,effluent_volume_1000m3,N_effluent_ton,P_effluent_ton,N_removal_process_pct,P_removal_process_pct,N_removal_total_pct,P_removal_total_pct
NL01,Nederland totaal,2005,368.0,,1841413.0,84825.0,14425.0,1841413.0,21742.0,2651.0,80.0,79.0,74.0,82.0
WS01,Waterschap Groot Salland (WS),2005,9.0,,32877.0,1781.0,305.0,32877.0,373.0,74.0,83.0,81.0,79.0,76.0
WS02,Waterschap Rijn en IJssel (WS),2005,14.0,,68295.0,3934.0,594.0,68295.0,670.0,133.0,83.0,84.0,83.0,78.0
WS03,Waterschap Veluwe (WS),2005,8.0,,55370.0,2816.0,456.0,55370.0,404.0,57.0,84.0,88.0,86.0,88.0
WS04,Waterschap Vallei & Eem (WS),2005,8.0,,62516.0,3016.0,489.0,62516.0,557.0,67.0,82.0,84.0,82.0,86.0
WS06,Waterschap Regge & Dinkel (WS),2005,22.0,,70963.0,3347.0,525.0,70963.0,582.0,111.0,83.0,72.0,83.0,79.0
WS07,Hoogheemraadschap van Delfland (WS),2005,5.0,,119577.0,5575.0,890.0,119577.0,3879.0,212.0,69.0,65.0,30.0,76.0
WS08,Waterschap Zeeuws-Vlaanderen (WS),2005,7.0,,14225.0,620.0,95.0,14225.0,103.0,16.0,87.0,76.0,83.0,84.0
WS09,Waterschap Zeeuwse Eilanden (WS),2005,11.0,,35459.0,1737.0,283.0,35459.0,523.0,64.0,74.0,73.0,70.0,77.0
WS10,Waterschap De Dommel (WS),2005,8.0,,107452.0,4640.0,838.0,107452.0,1542.0,130.0,76.0,83.0,67.0,84.0
WS12,Hoogheemraadschap van Rijnland (WS),2005,32.0,,118233.0,5453.0,902.0,118233.0,1013.0,116.0,78.0,78.0,81.0,87.0
WS13,Waterschap Rivierenland (WS),2005,39.0,,112757.0,4503.0,779.0,112757.0,879.0,178.0,83.0,75.0,80.0,77.0
WS14,Hhs De Stichtse Rijnlanden (WS),2005,17.0,,74472.0,3809.0,623.0,74472.0,711.0,86.0,81.0,83.0,81.0,86.0
